,spearman_rho,p_value,is_ntc,cvae_de_overlap
NTg1,0.46622563055921107,2.0260041067782598e-200,True,3
NTg10,0.4492127982133416,1.7884970551350675e-184,True,5
NTg2,0.4734233883383384,1.919853803015014e-207,True,2
NTg3,0.4949478640524723,1.7712984912048327e-229,True,4
NTg4,0.5104395074045497,2.418777103515828e-246,True,2
NTg5,0.4656785506263167,6.817323773835433e-200,True,0
NTg7,0.42017124779209575,2.8656141026320056e-159,True,2
NTg8,0.5100419539709088,6.719817971711824e-246,True,0
NTg9,0.45373708583658295,1.2587940053578203e-188,True,2
tar-ATF2,0.47260611566743005,1.2281034232782033e-206,False,1
tar-BRD4,0.5347496589845993,1.2465409832990396e-274,False,2
tar-CAV1,0.4941350703879729,1.2862867795073857e-228,False,2
tar-CD86,0.47838667831387327,2.1942607477152511e-212,False,4
tar-CMTM6,0.4506881555198722,8.039980370006735e-186,False,1
tar-CUL3,0.6662559497831371,0.0,False,11
tar-ETV7,0.5081733991293169,8.039590770705726e-244,False,1
tar-IFNGR1,0.9046305061153846,0.0,False,18
tar-IFNGR2,0.9118868052198712,0.0,False,18
tar-IRF1,0.8168326010032408,0.0,False,18
tar-IRF7,0.49995584225173084,7.786106802835368e-235,False,4
tar-JAK2,0.907006915977192,0.0,False,19
tar-MARCH8,0.46838424360202485,1.651833672384399e-202,False,3
tar-MYC,0.6309281178615678,0.0,False,8
tar-NFKBIA,0.5080378341459817,1.1362718812183134e-243,False,8
tar-PDCD1LG2,0.4802882923889343,2.6675604927570256e-214,False,4
tar-POU2F2,0.47638750720881406,2.1963197636596452e-210,False,5
tar-SMAD4,0.8492858069845736,0.0,False,14
tar-SPI1,0.5444774584861464,1.297887244254143e-286,False,1
tar-STAT1,0.9180778538109522,0.0,False,19
tar-STAT2,0.7460380771199454,0.0,False,19
tar-STAT3,0.4985487221434386,2.544070265046056e-233,False,1
tar-STAT5A,0.457178401368951,7.926934393618012e-192,False,2
tar-TNFRSF14,0.47430434932886795,2.582473332692689e-208,False,4
tar-UBE2L6,0.4468466116240307,2.5081269548374407e-182,False,5
