train_total,train_recon,train_kl,val_total,val_recon,val_kl
0.19663395753928592,0.19605484775134496,0.5791097159896578,0.14469672526632035,0.14455927056925638,0.13745809027126857
0.14882402420043944,0.14867475628852844,0.14926813393831254,0.14346525498798915,0.14335512263434275,0.11013243240969521
0.14627085328102113,0.14614858158997127,0.1222718045115471,0.14227119939667837,0.1421714105776378,0.09978873708418437
0.14440617561340333,0.14432244684015003,0.08372867618288313,0.14174714045865194,0.14167204286370957,0.07509860077074595
0.14155526416642325,0.1413658205951963,0.1894428495849882,0.1367740354367665,0.13649486856801168,0.2791654169559479
0.13692533246108463,0.13667276331356593,0.2525687634944916,0.13488935785634176,0.13465559056827,0.23376769253185817
0.13515652332987105,0.13490642947810036,0.25009451934269494,0.13380833395889827,0.1335680208035878,0.2403120994567871
0.1335061571427754,0.13323897974831717,0.26717680820396966,0.13203503404344832,0.13175185876233236,0.283174923488072
0.13148344414574759,0.1311537457363946,0.3296990692615509,0.12997961470058986,0.1296236217021942,0.35599471841539654
0.12906569412776403,0.1287040455000741,0.3616482130118779,0.12822818223919188,0.12787459045648575,0.35359231914792744
0.12786591947078704,0.1275170779653958,0.3488418085234506,0.12758722688470567,0.12723579896347864,0.3514279680592673
0.12695383599826268,0.12658389231988362,0.3699441092354911,0.1265068586383547,0.1261210154209818,0.3858424552849361
0.12584817579814367,0.125426538501467,0.4216382963316781,0.1252155750989914,0.12479261521782194,0.4229592723505838
0.12487043802227293,0.1244293600320816,0.4410780949251992,0.12440072851521629,0.1239683638725962,0.43236513648714336
0.12387501852852957,0.12341166990143912,0.46334880420139857,0.1234052734715598,0.12293968988316399,0.46558357562337604
0.12307420117514474,0.12258923905236381,0.48496286273002626,0.12274155127150672,0.12225247706685748,0.4890762226922171
0.12240544493709292,0.12190789303609303,0.4975519818919046,0.12220957555941173,0.12171752218689237,0.49205303617886137
0.12187606926475253,0.12137669835771833,0.49937077845845906,0.12157583981752396,0.12108325745378222,0.49258256810052053
0.12127530936683928,0.12076722915683474,0.5080795918192182,0.12101403623819351,0.12051447055169515,0.499566912651062
0.12074232995510101,0.12022526115179062,0.517069000857217,0.12052327713796071,0.12000439316034317,0.5188833219664437
0.12022246675831931,0.1197041996887752,0.5182675617081779,0.12005603845630373,0.11953928640910558,0.5167514596666608
0.11974731981754302,0.1192210710474423,0.5262487615857806,0.11964882058756691,0.11912445617573601,0.5243655613490513
0.11935965546539852,0.11883502836738313,0.5246272334030696,0.11929727239268166,0.11879139393568039,0.5058782270976475
0.11903196551970073,0.11851532267672675,0.5166425279208592,0.11911366773503167,0.118600033223629,0.5136347029890332
0.11862602255174091,0.11811605095863342,0.5099716663360596,0.11870700333799634,0.11821874231100082,0.4882607119424002
0.11841483137437275,0.11791398291076932,0.5008478573390416,0.11841248720884323,0.11792340661798205,0.4890807441302708
0.118084331708295,0.11759489732129233,0.48943459391593935,0.1181716365473611,0.11769271322659083,0.478921788079398
0.11786884942225047,0.11738289786236626,0.4859520026615688,0.1179182401725224,0.11743676236697606,0.48147742237363544
0.11749730429479054,0.11701307807649886,0.4842264175415039,0.11767783228840147,0.1172239865575518,0.4538462247167315
0.11723541532244001,0.11675711103848048,0.47830436400004794,0.11742412405354637,0.11697765865496226,0.44646393401282175
0.11705301254987717,0.11658102252653667,0.47199027368000573,0.11736636608839035,0.11690309324434825,0.4632741297994341
0.11673984123127801,0.11627256316798074,0.4672786695616586,0.11694151375974927,0.11647577158042363,0.46574280091694426
