,spearman_rho,p_value,is_ntc,cvae_de_overlap
NTg1,0.4961089800425416,1.0332339848617423e-230,True,4
NTg10,0.4953874060510733,6.049018282425691e-230,True,3
NTg2,0.5086293306981614,2.508539278564386e-244,True,3
NTg3,0.4960957854559311,1.0672087037859898e-230,True,2
NTg4,0.594789124259575,0.0,True,12
NTg5,0.4554936086061189,2.9564263221956375e-190,True,3
NTg7,0.44547269304479353,4.346450056692018e-181,True,3
NTg8,0.5040363658045404,2.883505062608794e-239,True,6
NTg9,0.4815321542793232,1.4682974396198698e-215,True,1
tar-ATF2,0.45066612101992076,8.422187273993554e-186,False,5
tar-BRD4,0.6212521191939155,0.0,False,7
tar-CAV1,0.5021072636095928,3.6509688467642003e-237,False,1
tar-CD86,0.5339760651130122,1.0760930338180172e-273,False,4
tar-CMTM6,0.4627805080367063,4.0661378952301106e-197,False,3
tar-CUL3,0.6515361908508012,0.0,False,11
tar-ETV7,0.5163674024979578,4.9702106282572347e-253,False,10
tar-IFNGR1,0.8547270928431812,0.0,False,17
tar-IFNGR2,0.8381088437683877,0.0,False,17
tar-IRF1,0.8260230726731638,0.0,False,18
tar-IRF7,0.5114633374739178,1.730021245016212e-247,False,10
tar-JAK2,0.8397595420013402,0.0,False,18
tar-MARCH8,0.5075010708322302,4.463929281575398e-243,False,8
tar-MYC,0.55920345030278,1.609018403018572e-305,False,5
tar-NFKBIA,0.5834261761866228,0.0,False,7
tar-PDCD1LG2,0.512314392647525,1.9179567180421794e-248,False,2
tar-POU2F2,0.5666335203790733,1.999536297e-315,False,10
tar-SMAD4,0.7864905107344932,0.0,False,14
tar-SPI1,0.5520031916828603,3.7077824281191786e-296,False,4
tar-STAT1,0.7904177103817384,0.0,False,18
tar-STAT2,0.7391625086286444,0.0,False,17
tar-STAT3,0.5112526468620365,2.9792647532829423e-247,False,2
tar-STAT5A,0.46935339117969554,1.8850565616663453e-203,False,4
tar-TNFRSF14,0.47759043660682365,1.3791665288059077e-211,False,3
tar-UBE2L6,0.4910745223595173,2.1417571419172132e-225,False,6
