,spearman_rho,p_value,is_ntc,cvae_de_overlap
NTg1,0.47442098175900266,1.9792463972761515e-208,True,3
NTg10,0.4494971420555328,9.848147777951353e-185,True,4
NTg2,0.45390766625195944,8.753038473139851e-189,True,1
NTg3,0.4867929306533056,6.063994759764312e-221,True,5
NTg4,0.500758444863806,1.0579224763916603e-235,True,4
NTg5,0.43001443768671344,1.5460775060795886e-167,True,0
NTg7,0.41063643561883767,1.611088226641286e-151,True,2
NTg8,0.49214043526995893,1.6313433597563792e-226,True,1
NTg9,0.45660681281961296,2.7120874725806466e-191,True,5
tar-ATF2,0.4534429772568686,2.3540160509141315e-188,False,3
tar-BRD4,0.5246004197806078,1.5354414713019854e-262,False,6
tar-CAV1,0.3873283464528945,1.3150603963043102e-133,False,2
tar-CD86,0.4650525516819282,2.7253923229724495e-199,False,4
tar-CMTM6,0.40859969450069084,6.763635864118397e-150,False,2
tar-CUL3,0.6567313636606277,0.0,False,12
tar-ETV7,0.4804273220812061,1.9302673318995187e-214,False,6
tar-IFNGR1,0.8833418731967578,0.0,False,18
tar-IFNGR2,0.8773825843274498,0.0,False,18
tar-IRF1,0.83373413072521,0.0,False,18
tar-IRF7,0.4747430716607084,9.488660749534955e-209,False,5
tar-JAK2,0.8734596724508856,0.0,False,18
tar-MARCH8,0.47335735486214975,2.2308459261031936e-207,False,4
tar-MYC,0.6095372044366388,0.0,False,8
tar-NFKBIA,0.46867339873789643,8.650430681796461e-203,False,8
tar-PDCD1LG2,0.45389200570096944,9.050017466764614e-189,False,3
tar-POU2F2,0.49356773343011506,5.116547944667915e-228,False,7
tar-SMAD4,0.7958323644797768,0.0,False,14
tar-SPI1,0.5003640674015899,2.822918390539449e-235,False,3
tar-STAT1,0.8580426207609027,0.0,False,18
tar-STAT2,0.741844658556443,0.0,False,20
tar-STAT3,0.4657579929337412,5.716772047438334e-200,False,1
tar-STAT5A,0.46178255616451613,3.620520787236882e-196,False,3
tar-TNFRSF14,0.4750712138487389,4.482890624435242e-209,False,4
tar-UBE2L6,0.46358198706644466,6.986409116426861e-198,False,6
