,NTg1,NTg10,NTg2,NTg3,NTg4,NTg5,NTg7,NTg8,NTg9,tar-ATF2,tar-BRD4,tar-CAV1,tar-CD86,tar-CMTM6,tar-CUL3,tar-ETV7,tar-IFNGR1,tar-IFNGR2,tar-IRF1,tar-IRF7,tar-JAK2,tar-MARCH8,tar-MYC,tar-NFKBIA,tar-PDCD1LG2,tar-POU2F2,tar-SMAD4,tar-SPI1,tar-STAT1,tar-STAT2,tar-STAT3,tar-STAT5A,tar-TNFRSF14,tar-UBE2L6
SPINT2,-0.0006832397,0.003277799,0.0006650845,-0.00058879965,-0.0022588128,0.0005572899,-0.00047802992,-0.00061032875,-0.0011843023,-0.0025383367,-0.008221359,-0.00148176,-0.0014312781,-0.0009598109,-0.003930784,0.0010634054,-0.006254024,-0.006165371,0.07953642,-0.0020109452,-0.008821612,-0.00016731802,-0.0042603877,-0.0010702476,0.00017264695,-0.00040815416,-0.030776747,-0.007810434,-0.0035651962,0.0014561628,-0.0010394868,-0.0016149727,-0.0001318575,0.00040870198
ALDH3A1,-7.3742965e-05,6.126651e-05,-0.0001472071,-0.00012896334,0.00017113912,9.027735e-05,5.489357e-05,0.000106536805,-0.000106532425,-0.0001350722,0.0006954979,7.506544e-05,-1.5934401e-06,2.4114983e-05,0.0004011809,-4.645032e-05,-0.0002579441,-0.00043973082,0.00046664398,-3.5129397e-05,-0.00041349418,-0.0001546677,-2.957975e-05,-0.00018525822,0.00021547302,-0.00024994437,-0.00043904202,0.000476292,0.00027140946,-0.00018852328,0.00014006965,-3.8245842e-05,2.9659259e-05,7.865438e-05
ABHD6,0.00061122456,0.0008520571,-0.00027701544,2.2423133e-05,-0.00092418044,-0.00040465084,-0.0005045942,0.00072287733,-0.000569956,-0.0006383305,-0.0020744682,-0.0011689279,-0.0004950886,-0.0009737964,-0.0007757239,-0.00059934874,-0.0043033976,-0.004589807,-0.0038946308,-0.00056368054,-0.0053660744,-0.00024389933,-0.00074677955,-0.00029537463,-0.0012742385,-0.00027912523,-0.010214301,-0.0016534337,-0.0027354436,0.0020591903,0.0003881862,-0.0007971976,-0.00091726775,-0.0013617078
PPARD,0.0015411163,-0.0028431676,-0.0006917434,-0.0013333544,-0.0003966101,0.00054378854,0.00025830613,0.0011271199,0.00065236655,-0.0006807745,-0.011478267,-0.0027981843,0.0007957966,-0.0011173537,-0.0025092054,4.6954592e-05,0.008333081,0.011918678,0.030858384,0.00086061895,0.011411592,-0.00054448727,0.0010163389,5.6034518e-05,-0.00031020094,0.0036872171,-0.01743276,-0.0021882846,0.0098422235,-0.00023485844,0.00023457831,4.9619175e-05,0.0013779016,0.003622595
CYFIP2,0.00044656932,0.00021153345,3.4905996e-05,0.00010611372,-0.00026298276,2.928268e-05,-0.00020215428,-0.0005450178,-7.321708e-05,7.1119655e-05,-0.0019463033,-2.9765219e-05,-0.00020688104,2.0726588e-05,-0.0003729559,-0.0003913516,-0.00169795,-0.0023514512,0.0061385245,-0.0003904659,-0.0020516524,9.4301875e-05,-0.00034545865,-0.0007444323,-9.4948366e-05,3.445627e-05,-0.0046702754,-0.0004185651,-0.00070181594,-0.00086494006,-1.6182421e-05,0.00025764143,-0.00040254838,-4.09278e-05
PINK1,0.0019505272,0.0011065338,-0.001560069,0.0012473696,-0.0021033278,-0.0002510429,-0.00079807226,-0.00017749003,0.000101168,-0.0010417447,-0.0067267297,-0.001946097,-0.0011747739,-0.001461287,0.00023451833,-0.0008194638,0.0036602777,0.0027811197,-0.0060978597,-0.002554061,0.0025207507,-0.0007454663,-0.0022672703,-0.0019070312,-0.00060791225,-0.0008567275,0.0027737732,0.0038728286,0.0041445973,0.0012979282,-0.0005691859,-0.0009030594,-0.0008650317,-0.0016915695
ESR1,-9.62092e-05,-6.364397e-05,-0.00020407759,-4.9107166e-05,0.00035362656,-1.3508004e-05,-0.00012401471,7.276226e-05,-4.773178e-05,8.981506e-05,-0.00070758135,-4.7256923e-05,2.1274867e-05,-6.5919674e-05,0.00025427347,-5.357945e-05,-1.3196308e-05,-4.1691164e-05,-0.00076789083,-0.0002007541,1.3734079e-05,7.8516925e-05,5.6223394e-05,-4.9506475e-06,-3.6022506e-05,0.00014431177,0.0013201389,0.0006103526,0.00054827635,-0.00062657666,-1.4380969e-05,-2.8770623e-05,3.6976016e-05,-3.147458e-05
PMM1,-0.00020327266,0.0010410848,-0.0044665677,-2.3681732e-05,-0.0005381995,-0.00027301567,-0.00074597786,0.0053194487,-0.0020729287,-0.0013470622,-0.001923604,-0.0025867224,-0.0025670577,-0.0029816031,-0.001135844,9.8880824e-05,-0.002163295,-0.0035874802,-0.025059143,-0.0012307342,-0.00027435567,-0.00039670695,-0.0051236544,-0.0025282803,-0.0011215567,-0.0034871488,0.0036722985,0.005103139,-0.0074672843,-0.003193553,-0.000983642,-0.00019627907,-0.000103618455,-0.0012051975
TDO2,-0.009572409,-0.0022433714,0.010064323,0.00012597261,0.0050704153,0.0074017025,0.0013086714,-0.009763614,0.0020975145,-1.0764409e-05,-0.0054291748,0.008008045,0.0032418685,0.0048463615,0.025038008,0.0021990717,-0.01516388,-0.016210571,-0.043139268,0.0050751907,-0.01790721,0.0003840791,-0.004298148,0.0112724025,0.005488304,0.010677785,0.0041336,-0.008444105,0.0029663346,0.0067901425,0.006115598,0.0044636666,0.0012446624,0.0050801607
ACP2,0.0021911643,-0.0014222452,-0.0013086322,-0.0012299672,0.00084441755,0.00016642034,-0.0014882158,0.002209727,-0.00065271504,0.00070083165,-0.009749876,-0.0010557477,-3.8793863e-05,-0.0020017494,0.0051338156,0.0014469133,-0.012777067,-0.012262626,-0.032540794,-0.0008934428,-0.013663773,-0.00042128595,-0.0005910463,0.00021800822,-0.0013675689,-0.002296879,-0.009507288,0.0061650104,-0.0077426187,-0.0029927543,2.5208306e-05,-0.0012421825,-0.00039584166,-0.0028340833
