,NTg1,NTg10,NTg2,NTg3,NTg4,NTg5,NTg7,NTg8,NTg9,tar-ATF2,tar-BRD4,tar-CAV1,tar-CD86,tar-CMTM6,tar-CUL3,tar-ETV7,tar-IFNGR1,tar-IFNGR2,tar-IRF1,tar-IRF7,tar-JAK2,tar-MARCH8,tar-MYC,tar-NFKBIA,tar-PDCD1LG2,tar-POU2F2,tar-SMAD4,tar-SPI1,tar-STAT1,tar-STAT2,tar-STAT3,tar-STAT5A,tar-TNFRSF14,tar-UBE2L6
JUNB,-0.0040964736,0.006954068,-0.022809964,0.0022387907,0.004766496,0.0034688297,-0.006161653,0.001605994,0.0033995304,0.013540185,0.08370442,0.023049248,0.0075031733,0.0023284324,0.040099118,0.011463295,0.075866565,0.07683426,0.077269375,0.0056490432,0.06996715,0.008360057,-0.00011604997,-0.0069141104,0.0123076,-0.004280081,0.010919051,0.0883201,0.06008319,-0.010932392,-0.00836698,0.0108815655,0.02462809,-0.0033877227
CXCL2,-0.0021981269,-0.00041743537,0.00097344007,-0.0016959922,0.0005245961,0.0012995967,-0.004407847,0.0023898243,0.0006076003,-0.00024143718,-0.031238593,-0.00066977995,-0.0029462904,-0.002068477,0.05334127,0.0011891524,0.015742458,0.011712437,-0.010864195,-0.002960717,0.017394748,-0.0009535204,0.004115021,0.0052254247,0.0022861161,0.0008969956,-0.010245967,0.008036178,0.002961288,-0.0021001669,-0.0047815554,0.00094941526,0.0014011255,-0.0053301686
ATF3,-0.006279444,0.007780813,-0.012706604,0.008704881,0.0035539821,-0.008962097,-0.00073699944,0.008204611,-0.0063957106,0.006939687,-0.0067203436,0.007829131,0.0042512403,-0.0033789722,0.024719758,0.0060662692,-0.029970732,-0.03994807,-0.10938338,0.005640547,-0.03878643,0.0052891714,-0.009778444,-0.0024342898,0.007971001,0.0064362953,-0.034685995,0.0097209,-0.032881267,-0.01772299,-0.007814668,-0.00072164345,0.0012810528,-0.0053271586
NFKBIA,-0.017434265,0.01695487,-0.019670995,-0.014981295,0.008928229,0.008345971,-0.019047923,0.029355602,0.00018712816,0.003732594,0.08208373,0.01564785,0.010600221,0.0046436726,0.051887035,0.015151154,0.14867006,0.14348745,-0.004420584,0.0016771328,0.1437916,-0.0024149986,-0.0036661944,-0.018365813,0.010393546,-0.024174154,-0.0015831846,0.0814239,0.09065447,0.02449279,-0.019864127,-0.005577706,0.028071735,-0.011682855
TNFAIP3,-0.0078778155,0.008127532,-0.0027706951,-0.0060089733,0.0038186132,0.008197816,-0.011206352,0.0024315526,-0.00067111524,0.0035079434,0.005078708,0.011753494,0.007412702,0.0057690875,0.029652864,0.008655172,-0.0042064986,-0.006039485,-0.07498286,0.0010871172,-0.0055531003,0.0018345251,0.010202551,0.0060384995,0.0024814599,-0.007916156,0.01656107,0.042634193,-0.007967144,0.0006567104,-0.0012566051,0.002829673,0.01130047,-0.0010101497
PTGS2,-0.0006428613,0.00076815987,-0.00043076958,0.00070189306,0.00062297564,-0.001215018,-0.0009838492,-0.00014431919,0.0007566099,0.0008759621,-0.0027712593,0.00081130624,0.0005694512,0.0009490364,0.0046390337,0.001687593,-0.0029799156,-0.0034602429,-0.021634238,0.0006033435,-0.004516411,0.00066697586,0.0007482483,0.001625568,0.0017512125,0.0015194123,0.0030500456,0.0028096307,-0.0014260878,0.004571577,-0.00038784728,0.0009594759,5.9397527e-05,-0.00027967768
CXCL1,-0.006887306,0.008102937,0.0032767018,-0.009268222,-0.0028960395,0.0062831896,-0.010070353,0.0080425255,0.00197088,-0.0019966306,-0.07788698,-0.0009365694,-0.0022655332,-0.00060404534,0.06658657,0.010484928,-0.004751222,-0.008664903,-0.087234005,-0.0036563454,-0.00023300678,-0.003600258,0.012387741,0.0070504863,0.0020597319,0.0019952394,-0.018925931,0.0053163446,0.021153321,0.02536627,-0.003308759,0.00065307826,0.0020303815,-0.0077950126
IER3,-0.0027280801,0.0058571594,0.0017550159,-0.0038344078,-0.002311266,-0.0025745989,0.0015313872,-0.0021034316,0.003164749,0.0016507483,0.0007278608,-0.0014785371,-0.0010709801,-0.00084403914,0.007627431,0.0023400334,0.01293234,0.01469659,-0.04204881,-0.0033619923,0.010782426,0.0025688924,0.00077523856,0.0011659715,0.0004173469,0.00478957,-0.013246089,0.012317452,0.017027646,-0.00062072265,0.002423381,0.0037470509,0.0022681055,4.2622043e-05
CD83,-0.014028398,0.0075846193,-0.009030228,0.004426528,0.0097749345,0.0014288453,-0.0022798148,0.0013324704,0.00253058,0.01008121,-0.0071540773,0.009634644,0.007191155,0.009061781,0.022007894,0.0052438513,0.0034699433,0.005995974,0.04680832,0.0041350047,0.00527485,0.0019929528,0.00925849,0.009530036,0.010060921,0.003963699,0.030744495,0.014922142,-0.008135278,0.0020104463,-0.0073112594,-0.0009954658,0.0062727416,-6.0830913e-05
CCL20,-0.010253458,0.007814654,0.0036351357,0.0023071321,-0.0006955553,0.0016663584,-0.0015104641,-0.0022329737,-0.0012289447,0.0039499262,-0.01850925,-0.0032905897,-0.00229751,-0.0008888668,0.029834459,0.002618804,0.039270267,0.044308323,-0.004124348,-0.005050373,0.037117667,0.0035754126,-0.0005604503,-0.0015183744,0.0033826793,0.0005020939,-0.016495526,0.0028119225,0.037625525,-0.0014703608,-0.00244159,0.0031574008,0.0029334172,-0.001005172
