,NTg1,NTg10,NTg2,NTg3,NTg4,NTg5,NTg7,NTg8,NTg9,tar-ATF2,tar-BRD4,tar-CAV1,tar-CD86,tar-CMTM6,tar-CUL3,tar-ETV7,tar-IFNGR1,tar-IFNGR2,tar-IRF1,tar-IRF7,tar-JAK2,tar-MARCH8,tar-MYC,tar-NFKBIA,tar-PDCD1LG2,tar-POU2F2,tar-SMAD4,tar-SPI1,tar-STAT1,tar-STAT2,tar-STAT3,tar-STAT5A,tar-TNFRSF14,tar-UBE2L6
JUNB,0.00012849955,0.006122537,-0.011306326,-0.0068357293,0.012029696,-0.00779378,-0.006686213,0.008752617,0.0065404116,0.007292194,0.08496384,0.008083647,0.0005235012,-0.008854806,-0.0004243646,0.0043448415,0.042308282,0.037521657,0.049334947,-0.0062760185,0.03677111,0.001417418,0.0023780332,0.0005411417,0.0051725395,-0.008705907,-0.009265819,0.062288206,0.035373073,0.024055015,-0.0015326919,0.0039110915,0.013348498,-0.007440624
CXCL2,-0.00045942463,-0.00019494498,-0.0035686307,0.0025049637,0.00073079375,0.0047246926,-0.0051224637,0.002448039,-0.0022813366,-0.00060794014,-0.022785295,-0.00020528126,-9.57607e-06,-0.0020827528,0.037358753,0.0014078983,0.009972394,0.007038323,-0.0074783335,0.00072543096,0.012526171,-0.0020970223,0.004172398,0.000343666,-0.00036838825,-0.0010539007,-0.009151308,0.0014833435,0.0010282915,-0.0056851297,-0.0042904783,-0.0014733858,0.00057892426,-0.0022215087
ATF3,-0.010522061,0.005506708,-0.0027256082,0.005017912,0.0010727152,-0.013980379,-1.19923625e-05,0.006681382,0.0035999327,0.009114599,0.01521065,-4.4146167e-05,-0.0020348195,-0.0027869786,0.014682686,0.0014624987,-0.03262899,-0.03782354,-0.09747706,4.398227e-05,-0.03156889,-0.00020172438,-0.00047280308,0.00068560336,0.0029832732,0.0024339736,-0.051168635,0.00013078474,-0.026091095,-0.0047679036,-0.004917517,-0.0059366543,0.00075873616,-0.003842916
NFKBIA,0.0062193256,0.01044838,-0.029796828,-0.005991677,0.01184444,0.002449706,-0.0063844295,0.0097249225,0.00845454,-0.0009393692,0.055521645,0.010912591,0.01013786,-0.0066493624,0.009739216,0.013413111,0.09753369,0.08877408,-0.029050445,-0.0062332037,0.099104285,-0.0065423083,-0.010364436,-0.00677991,0.0034051652,-0.018647801,-0.015931593,0.058199633,0.06891161,0.024275966,-0.003263071,-0.002257794,0.007905216,-0.019217769
TNFAIP3,0.0032660398,3.7491416e-05,-0.009582193,0.00074928167,0.0051125246,0.0051868493,-0.0038058327,-0.00076894276,0.0038202393,0.0019176871,-0.005965149,0.0060850293,0.0062980033,-0.0015736235,0.013330945,0.0060397754,-0.017296627,-0.02019361,-0.06499511,-0.0009434097,-0.019191166,-0.00066359626,0.0038880478,0.005805859,0.0003646131,-0.002077353,0.026452083,0.029654667,-0.00261181,0.01065621,0.0022452932,0.003084853,0.0024577552,-0.0038670527
PTGS2,-0.0003376816,0.00043741855,0.000670285,0.00014985475,0.00027775558,-0.00011375476,-0.00051084685,0.00033667876,-0.00039686146,0.00016732179,-0.001699601,-0.00051792094,-0.0003927659,0.00011684349,1.9762074e-05,0.0011277959,-0.0021060593,-0.0019066003,-0.018636117,0.00013510676,-0.0016139633,0.000770329,-0.00075914065,0.0005203641,0.00026187664,0.0006622373,0.0030582962,0.001015859,-0.00089491566,0.00514689,-0.0006424492,-0.00038569816,0.00028229502,-0.00038423133
CXCL1,0.0020418973,-0.0006690051,-0.0034054318,-0.004525485,0.0010850719,0.0039950013,-0.005076883,0.0066065122,-1.9145265e-05,-0.0015623515,-0.05671557,0.005317252,1.8738538e-05,-0.0038116144,0.047218036,0.007765862,-0.016468626,-0.021142585,-0.08153189,0.0026043968,-0.019905817,-0.002695606,0.0070432234,0.004485435,-0.0006836359,0.0019537911,-0.029938621,0.0007397698,0.0017978271,0.01365293,-0.0020981021,0.00058254204,-0.0016638067,-0.0021152222
IER3,-0.00090079673,0.0018995033,0.001624714,-0.0025700578,-0.0005974681,-0.0039687227,0.0002199558,0.0023493376,0.0021419537,0.0005257723,-0.005899131,-0.0006601341,-0.00049559673,-0.0023894499,0.0045730015,-9.732072e-05,0.012667903,0.016253075,-0.048292216,0.0013818609,0.013469798,-0.0011654734,0.002213438,-0.00063798024,0.00081456837,0.0028074365,-0.026617799,0.008138534,0.013935128,0.004281019,0.0012144631,0.002149852,0.002180341,0.0016997487
CD83,-0.0067905504,0.0051173717,-0.008942903,0.0011542672,0.0076437327,0.0019144902,-0.0005263656,-0.0012740187,0.0021630314,0.006728293,0.00013156733,0.005338116,0.0038763236,0.0034030173,0.010709716,0.0026286524,-0.002291136,0.0008644974,0.036732614,0.00017473451,0.0030276089,-0.0015478518,0.009267484,0.005898711,0.0062642107,0.004427593,0.011294548,0.0025984955,0.0017317148,0.016216116,-0.0048033646,-0.002745221,0.0011890891,7.937954e-05
CCL20,-5.5980385e-05,0.0008903062,0.0065921387,0.0006536669,0.0011222056,0.0004186859,-0.0035024118,-0.002972132,0.0010528035,0.0013321444,-0.010698958,-0.0027624941,-0.002268082,-0.0019194763,0.019398073,-0.0014267104,0.027817301,0.033779003,-0.0037751046,-0.0024553519,0.030824188,-0.0005270997,-0.0013881371,0.0007076351,0.0020050441,0.0056190514,-0.014859178,0.0035096984,0.03342246,0.004553121,-0.0014905906,0.0012948588,-0.0010077747,-0.0011472943
CXCL3,0.00025481315,-0.00064989965,-0.0004919043,0.0032240667,1.0877317e-05,0.0035272709,-0.005112987,0.0024009973,-0.0023750237,0.0005836915,-0.017710458,-0.0015200492,-0.00027968068,-0.0021578872,0.07032374,0.001543596,-0.003357119,-0.004574031,-0.018842857,0.0012229456,-0.0021716792,-0.0019019399,-0.0020440503,0.00020318986,-0.0007022555,-0.00043624622,-0.010458205,-0.0033403423,-0.0033834348,-0.0069776373,-0.0029890041,-0.0023489394,-0.0010830208,-0.0025987937
MAFF,-0.002645521,0.00030122712,-0.0024863482,0.002832268,0.0014207254,-0.0007492947,0.0014496372,-0.0005629095,0.0022919558,0.0020675557,-0.020116132,-0.00014150619,0.00026184623,-0.00083216385,0.012251132,0.0028119835,-0.026776036,-0.026638355,0.00288406,0.00056392635,-0.027743412,-0.0002191297,-0.0033771468,-0.00085803395,0.0010342906,0.002122715,-0.015922317,0.0002776318,-0.018510617,0.0069834166,-0.0016246107,-0.00046853095,0.0006677959,0.0001368854
NFKB2,-0.0009910959,0.00036710492,-0.0018138399,0.001066703,0.0018155776,-0.0009341453,-0.0018956457,0.0018825474,0.0007288045,-0.0009346108,-0.0018563989,-4.03822e-05,0.0007027883,-0.0012033999,0.005429492,0.00066022837,0.015054057,0.015313853,0.0008175499,-0.0014745301,0.017074449,-0.0022209554,-0.0015032206,0.0018274296,0.0006468246,-0.0004206067,0.011210236,0.008127194,0.010577237,0.0024141707,-0.0014646986,-0.0013550229,-0.00015890936,3.7632602e-05
TNFAIP2,0.00019347196,0.00094524876,-0.0061644767,0.0066256984,0.006929667,-0.012277397,0.0058827684,-0.009870422,0.0039235014,0.0003905567,-0.006900755,0.00036077542,0.008266177,-0.0007911199,0.0018655715,0.00502978,-0.055723347,-0.05631889,-0.018691868,0.003991243,-0.055500463,-0.008013193,0.00020537643,0.005801162,-0.0026047572,-0.004511025,0.09436462,0.024650944,-0.035176676,0.047925867,-0.008579286,-0.00267374,-0.0017395975,-0.0022177307
HBEGF,-0.0020398833,-0.0006342869,0.0030163627,-0.00078555365,-0.0003803766,0.00083083566,-0.0002550333,0.00025174912,0.0009375894,0.003151682,0.0010342763,-0.0004429468,-0.00074328587,0.0005523841,0.0025040333,-0.00092146057,-0.0020571712,0.0044093737,0.0070564873,-0.0002848942,-0.0010729723,-0.0009079177,0.0037451715,0.002118803,0.0047244513,0.0045266273,0.037937272,-0.00034823423,0.0066381036,0.00562743,-0.00029831796,0.00018682565,0.002279992,0.00398207
KLF6,0.002002146,-0.0060502244,0.0040378757,-0.00934019,0.0041788425,-0.009180549,0.00090760464,0.007756892,0.0026961907,0.004338738,-0.009589589,0.0014869657,0.0005256336,-0.007175166,-0.006696018,0.00350708,0.00786738,0.0030720758,-0.051451553,-0.0032277417,0.009708355,0.0022869713,-0.0067647034,0.009897354,-0.00066095573,-0.002792587,0.027291806,0.0062534367,-0.0013017511,-0.030236883,-0.006244179,-0.0018303315,0.008107779,0.0020466899
BIRC3,0.0005466339,0.0002821687,-0.0024641915,-0.00022973635,0.0005594936,0.0008593753,-0.0007684495,0.0015619041,0.0009585105,-8.619575e-06,-0.0011507758,0.0014126432,0.001544605,-0.001453483,0.007316341,0.0005640917,0.002042673,0.0026819925,-0.009314835,-0.0012550666,0.003504417,-0.0019507903,-0.0025316614,0.0030557655,-0.0008272269,-0.0010528994,0.019317169,0.00925658,-0.00034485324,0.00063641305,-0.0010334516,0.00080005615,-0.00030453992,0.00031781252
PLAUR,-0.0022890312,0.0015354551,-0.00060385704,-0.0013080323,-0.003629806,-0.0074132686,-0.0027435448,-0.0008884647,0.013658275,0.015946642,0.0179239,0.00036374995,0.0009004456,-0.0023280457,0.012961127,0.0069405115,-0.017449705,-0.0075084846,-0.07183815,-0.0039466703,-0.012218464,-0.0007761468,0.01904432,-0.01243708,0.00926736,0.020315295,-0.13307022,-0.000990325,0.0034791278,0.0015764614,-0.010249129,0.0026857767,0.0060463008,0.0042938762
ZFP36,-0.004321599,0.014558644,-0.011557795,-0.0032502813,0.012686158,-0.016648125,-0.001658324,-0.0003849747,0.0058732796,0.009744314,0.00435313,0.0006212248,-0.004177332,-0.0075313784,-0.013226441,0.008295803,-0.038974427,-0.05072536,-0.012852648,0.0040675015,-0.04398256,0.004243709,-0.00061914657,-0.012758272,-0.0027599323,-0.0134125445,0.0453199,-0.014026319,-0.0039578937,0.026512321,-0.011439558,-0.0041275504,0.0062953257,-0.009076302
ICAM1,-0.0096297655,-0.002252271,-0.012244333,0.010582717,0.0038519476,0.004583556,0.004464023,0.0025486776,0.004419434,0.0031976462,-0.0010441612,0.0038524948,0.004206908,-0.0016483257,0.021201804,0.008730185,-0.06613631,-0.067393474,0.1591323,-0.0016471392,-0.07025029,-0.0062351217,0.00487229,0.006404241,0.002236975,0.0042030015,-0.02963651,0.0137599455,-0.040692613,0.02267683,-0.006113034,-0.0016969115,-0.00087736687,0.0100182295
JUN,0.012881587,-0.00636026,-0.0033508365,-0.004910995,0.00978345,-0.02362439,-0.009028731,0.01849279,0.00077573594,-0.003664292,0.013598319,-0.006978828,-0.0127994865,-0.021244286,0.0027759743,0.0027880785,-0.04160519,-0.05464147,-0.043498315,-0.008773218,-0.045462992,0.0018433259,-0.015204751,-0.0035610963,-0.0071467394,-0.007613015,-0.042154104,0.013867222,-0.060257867,-0.020207236,-0.021441404,-0.0072725085,0.00523344,-0.016116675
EGR3,-0.0010468409,0.00055207405,0.0009152882,0.0004223529,0.0011456815,-0.0004028127,-0.00036482053,-0.001094272,5.3898908e-05,0.0017848804,0.0013146375,-0.00010894841,-7.423192e-05,0.0006988051,-0.0034527942,-0.001075677,-0.0045583053,-0.0038118209,-0.01604683,-0.00031757288,-0.005101205,-0.00021662308,0.000989387,-6.629645e-05,0.0011863132,9.102694e-05,0.0052069044,-0.00029298745,-0.0019376201,0.0055397023,-0.00091263466,-0.0007329355,-0.00061593635,0.00021833781
IL1B,-0.0042743282,0.004170085,0.013295049,-0.005059514,-0.0030932,-0.007966808,-0.004333806,0.009344608,0.00826038,-0.004314344,-0.020929277,-0.0013011363,-0.0011743497,-0.008223743,0.06576337,-0.0047892276,0.040231284,0.042381853,-0.010891856,-0.00085002824,0.038955867,-0.008231246,0.0012407111,-0.00012813284,0.0055746967,0.004699026,-0.05708409,-0.015251973,0.03190515,0.017840575,0.0016656072,-0.0021083353,0.00022906212,0.0014737432
BCL2A1,-0.0076812524,0.003601632,0.014634987,0.0042121634,-0.0040306593,-0.0033441165,-0.006902435,-0.0034863804,0.005527523,0.0038084511,-0.0052426234,-0.0028365105,-0.0024492363,0.0007239442,0.0167892,-0.00093515083,-0.031872332,-0.030083878,-0.13084409,0.001242433,-0.034944907,-0.001892193,0.016240468,0.0012098524,-0.00087521295,0.015022256,0.029116858,-0.008068805,-0.020914933,0.011295591,0.0014599408,0.003909897,-0.0020966623,0.005393516
PPP1R15A,-0.009373647,0.0022535608,0.001071473,0.00116716,-0.0009377658,-0.0022938317,-0.0045245094,0.0069429628,0.003130896,0.0032055678,-0.01686726,-0.0017645055,-0.0011891054,-0.0056563737,0.034769535,-0.0007473162,0.0004931634,0.0020365482,-0.02677671,-0.0007840512,0.004339909,-0.009081753,0.00045328483,0.0068293284,-0.0029828637,0.009671328,0.04637601,-0.0114220055,0.019424943,0.0017164433,-0.0015079336,-0.00021581569,-0.0007545065,-0.0016960155
ZC3H12A,-0.0013230338,0.0011545874,-0.0038581751,-0.00028802868,0.0020488622,0.0005333766,0.001966969,-0.0019633297,0.0030830156,0.0038426125,0.010924539,0.0036055145,0.002144086,0.000116517724,0.0055537415,0.0045802337,-0.020216936,-0.01774652,-0.026010923,-0.000669118,-0.020202136,-5.7200832e-05,0.0011536205,0.0030829182,0.0027569726,0.0035389015,-0.026995646,0.01223926,-0.007977201,-0.00212992,0.0015265633,0.0006789483,-0.0012305216,0.0027021705
SOD2,-0.0040591992,-0.00042780524,-0.011034532,-0.003506013,0.009419446,0.008460851,0.005980093,-0.002904858,0.011483461,0.0085283,0.06647378,0.015758174,0.010526224,0.0039908867,0.08448756,0.014683717,-0.21287313,-0.21211015,0.06225146,-0.002307928,-0.22548306,-0.0059522707,-0.020587126,0.01960652,0.006428845,0.0032065178,-0.009278441,0.016852109,-0.15851721,0.0458296,-0.009985071,0.006239376,0.011469049,0.007714558
NR4A2,-0.00018333207,0.0004941686,0.00046007487,-0.00018852607,0.0022221801,-2.8814613e-05,-0.002422265,0.00045547602,-5.3578744e-05,0.0016687053,0.0052430355,-0.00036653873,-0.00030598152,-0.0006303326,0.0008481317,-0.0013530039,0.0049803513,0.0063406345,0.0007147168,-0.0016304897,0.006475369,-0.00017066242,-0.0014525191,0.00014356039,0.0005502694,-0.002090431,-0.00017865963,-0.0014905903,0.0021617983,-0.00060208264,-0.0010325902,-0.0005855534,0.00080280023,-0.00085170515
IL1A,-4.3724717e-06,-0.00022608026,0.00010437979,0.0001689157,-0.00013496543,-4.165403e-05,-0.00017770499,0.00042951776,-2.4762735e-06,-0.00030065727,-0.00016058871,-0.00036211178,-0.0002663765,-9.0969326e-05,0.002415985,-9.9008044e-05,0.00043245868,0.00027156662,0.0028321345,0.0001101174,0.0005326191,-5.182012e-06,-8.3523526e-05,-0.00011098033,0.00017340938,-0.00024994384,-0.00048062834,0.00031818883,0.00031613116,8.4691776e-05,-0.00019054627,-0.0002014062,-0.00013889573,-0.00034084826
RELB,-0.003339355,0.0013317779,-0.011457621,0.0011420539,0.0072613526,0.0033690191,-0.0034871781,-2.7209388e-05,0.0041832565,0.002646355,-0.016682176,0.006212133,0.006300706,-0.0035139343,0.013083328,0.006323585,0.012175432,0.0130407475,0.042036172,-0.0042767823,0.0128651075,-0.00612125,-0.0026777757,0.0065744296,0.0064129243,-0.004450683,-0.024335375,0.017902903,0.0018086154,0.010274935,-0.0026568316,0.0027687387,0.0022322848,-0.00058311026
TRAF1,-0.00021535344,0.00070283003,-0.0012200521,0.00066906074,0.001193291,-5.3458214e-05,-0.0013675329,0.00018512884,-4.5972443e-05,0.00040043233,-0.004675826,-5.348682e-05,0.0005589352,-0.00022894137,0.001745031,-0.00019516345,0.0006989876,0.0013864667,-0.008680389,-0.00020408357,0.0017510296,-0.0004177848,0.00093948666,0.0012650592,9.610115e-05,0.00039018205,0.010505545,0.0026493992,0.0032407746,-0.001902225,-0.001175713,-0.00051857514,-0.00020117521,-0.00028782166
BTG2,-0.0015374322,0.0037983032,-0.012446974,-0.005880452,0.010819351,0.010861163,-0.00201316,-0.00057742547,0.0020647824,0.008258184,-0.02914547,0.007410026,0.0034455524,-0.0002944814,0.0083840145,0.0061983,0.0002570396,0.00071772246,0.09886044,0.00028170977,-0.004113812,-0.002597727,0.0009482484,0.0072543067,0.0066558984,-0.0020849956,0.02045058,-0.004644011,0.0129515845,0.02451016,-0.003455075,0.0043940335,0.0087188985,-0.00023559695
DUSP1,0.010181714,-0.000975525,-0.010272982,-0.015238666,0.0112375915,-0.010882958,-0.0101153515,0.017841907,0.0018874346,-0.0013058223,0.036624588,-0.0020801914,-0.008353223,-0.01958964,-0.011942353,0.004420851,-0.01333657,-0.02668854,-0.073486105,-0.010566068,-0.020444818,0.008183836,-0.00018398504,-0.0037317881,-0.008005145,-0.0073376936,-0.09073796,0.022933215,-0.033802465,-0.0035974311,-0.008442293,-0.0038416535,0.01149462,-0.017939473
MAP3K8,0.0011330864,-0.00015430874,-0.002548555,0.0017556882,-7.7527875e-05,-0.002706803,-0.0011003187,0.0016431131,0.0009135823,0.00044478645,-0.01366178,-0.0016687784,-0.0004637595,-0.0027212333,0.004206211,0.0010316849,-0.009342066,-0.0127134025,-0.009458716,-0.0010362699,-0.0113499435,-0.0018417732,-0.0018269492,-0.0018300649,-0.0011766311,-0.0011893072,-0.005708787,0.0037975854,0.0009898242,-2.4518598e-05,-0.0014595619,-0.0023959405,-0.00064467656,-0.00059889944
ETS2,0.0005598152,-0.0013744048,-0.0005689439,0.0030760628,-0.0026365416,-0.0036367956,-0.00010191136,0.00021867387,0.003602326,0.000991853,-0.009195924,-0.0022678226,0.0016236391,-0.0010243729,0.0125318235,0.0019162314,-0.0005036163,-0.0019701372,-0.026530271,-0.00023530902,-0.0012680783,-0.001396519,-0.005484965,-0.0047642677,-0.0003283215,0.00025162834,-0.0065887687,-0.005936584,-0.006043957,-0.00048703668,-0.0013383504,-0.0029398652,0.0009981716,-0.00027332903
F3,0.0012231161,0.0002428052,-0.0016057836,0.00020373701,-0.0013196187,0.0006732632,0.000582854,0.00048744047,0.000694684,0.00026138275,0.009709763,-0.00013704108,0.0005012966,-0.00073002966,0.004510495,0.00060081045,-0.0057510897,-0.0037105647,-0.01134956,0.0006949187,-0.0061382437,-0.00018645855,-0.0018166318,-0.00054012565,-7.194204e-05,4.788916e-05,-0.009269799,0.00888098,0.005405792,0.00067540136,0.0013075767,0.00068469695,0.0006751983,-0.000462504
SDC4,-0.00052197644,0.0005712003,9.2244794e-05,0.00026900216,0.0007839985,-0.0023962439,-0.00019491171,-0.004590373,0.0070986473,0.0045086914,-0.009811929,0.0006785113,0.0031867384,-0.0011320444,0.006824305,0.0041930317,-0.035773642,-0.03459888,-0.030950043,0.0011863302,-0.037035227,-0.0012058695,0.0021888325,-0.0017126485,0.0006597971,0.0069409506,-0.013428761,-0.009340704,-0.020088779,0.0023719983,-0.0012154883,-0.0022638089,-0.0009987289,0.00085512194
EGR1,-0.0046688686,0.002033681,0.0050145406,-0.0005351246,0.0015303335,-0.0038789252,-8.978619e-06,-0.0014696309,0.0044775186,0.0051017655,0.037654392,-0.0005067427,0.0011046111,0.0023202235,-0.0074926806,0.0010944281,-0.005425167,-0.0047345893,-0.023313826,0.0037029064,-0.006910896,-0.0009205053,0.0051813116,0.0005926811,0.0010019444,0.0035579968,0.0040310905,-0.002670722,-0.010170447,0.0016352461,0.0049280194,0.00084800005,0.0011059904,0.0018000783
IL6,-0.0010073404,-0.00028410257,0.001448282,0.0009468318,0.00046627174,-0.0023461543,0.0015943244,-0.0012806667,0.0011268883,-0.00023117212,0.0030066292,-0.00046731767,0.00019660403,0.001009248,-0.0037886456,0.00036486678,-0.00784961,-0.006674426,-0.017578665,0.00013997198,-0.0077947327,0.0008922013,0.00073838345,0.0012450517,0.0016161052,0.0005540791,0.00664728,0.0036925871,-0.0044989553,0.00034432035,0.00071507273,-0.000924752,0.0003317801,0.0004762682
TNF,0.0038433087,0.0043455623,-0.007484599,-0.0017994562,0.008311838,-0.012724602,-0.0028490007,0.00546207,0.0028085099,0.006812086,0.03601574,0.002376864,0.003031067,-0.0022792884,-0.0036699916,0.004783298,-0.035066765,-0.038756356,-0.11683884,0.0019411026,-0.038222786,-0.0055031143,-0.009801334,0.007768472,0.003716341,-0.0060366485,0.045196645,0.02099351,-0.018580586,0.04366736,-0.011678662,-0.0038761355,0.002920896,-0.0064349286
