,NTg1,NTg10,NTg2,NTg3,NTg4,NTg5,NTg7,NTg8,NTg9,tar-ATF2,tar-BRD4,tar-CAV1,tar-CD86,tar-CMTM6,tar-CUL3,tar-ETV7,tar-IFNGR1,tar-IFNGR2,tar-IRF1,tar-IRF7,tar-JAK2,tar-MARCH8,tar-MYC,tar-NFKBIA,tar-PDCD1LG2,tar-POU2F2,tar-SMAD4,tar-SPI1,tar-STAT1,tar-STAT2,tar-STAT3,tar-STAT5A,tar-TNFRSF14,tar-UBE2L6
JUNB,-0.006677557,0.0012154264,-0.04254731,0.025047068,0.0046709883,0.0078098546,-0.027685916,-0.007417521,-0.0035477104,0.01111035,0.15664573,-0.004253939,-0.011758332,0.0008941492,0.06874126,0.020171087,0.07780174,0.07771957,0.00043515797,-0.015969943,0.081720114,-0.009013803,-0.029172154,-0.0037068224,0.0021864236,-0.03190485,-0.007688081,0.08083956,0.15988089,0.05540544,-0.01461864,-0.017626708,-0.0005129151,-0.020331353
CXCL2,-0.0030256524,0.00048376987,-0.01486916,0.00033065453,-0.0024757336,-0.0006276659,0.0030551702,0.0026456653,-0.004176104,0.0011532533,-0.014693127,-0.0041518365,-0.0038104507,0.0034346913,0.07822745,0.0023714704,0.03274934,0.025293257,0.016595652,0.005112569,0.026262773,0.005692116,0.0059310994,-0.00014487041,-0.0030420949,-0.00263832,-0.012161302,0.0039023675,0.026127022,0.016627293,-0.012892777,-0.0010183431,0.003909316,0.0011083728
ATF3,-0.02406649,0.01438361,-0.029029792,-0.012688908,-0.016225148,-0.01675026,-0.0029750387,-0.019072246,0.0012720268,0.007994182,-0.012966872,-0.0025229473,-0.0003158738,0.01482564,0.014100513,-0.011061232,-0.065574154,-0.091237426,-0.1091381,-0.02141396,-0.07989541,-0.0041144444,-0.012005441,-0.003792134,-0.0015653233,-0.009955379,-0.06046126,0.005046145,-0.07903753,-0.02107191,-0.007616509,-0.014713943,-0.012919962,0.009363821
NFKBIA,-0.0100392,0.06717556,-0.09480445,0.019449497,0.032393318,0.019549755,-0.03971084,0.0025070119,0.011831272,0.010341307,0.20685725,0.022322597,0.02284931,-0.00024351606,0.1509206,0.0108904615,0.27531838,0.25182474,-0.03948061,-0.008649347,0.26399007,-0.013253907,-0.030751014,-0.10962828,0.022187699,-0.012944229,-0.0058729714,0.037215326,0.35884318,0.16272958,-0.05128347,-0.041808054,0.03358308,-0.06329903
TNFAIP3,-0.012306707,-0.008712318,-0.022300279,0.0036588798,0.0011306097,0.015258218,-0.025953338,0.012682586,0.0042914464,0.009083406,0.060324498,0.0049143434,0.006817884,-0.0008269297,0.072559096,0.013562128,-0.043221343,-0.04202801,-0.086998306,-0.0029084098,-0.03647332,-0.0025468688,0.017237123,0.0021216033,-0.01152845,-0.00635789,0.002287158,0.05518655,0.0043904604,0.03964623,-0.006786367,0.0017507005,0.0038554345,-0.0057453383
PTGS2,0.0004036686,0.0017114789,-0.0006572471,0.00062061806,-0.0011482509,-0.00016365324,-0.0016577165,-0.004670088,-0.00097221835,0.0017997823,-0.007989094,0.0002627686,-0.0013860303,0.0033650405,0.001977231,-0.0014140093,-0.003041182,-0.006190495,-0.011812929,0.0008942647,-0.0018234993,-0.0012439867,0.0016457832,0.0012034775,-0.0009879939,0.003870459,-0.0014332932,0.004451969,0.0025384498,0.009451013,-0.0023530594,0.0007005572,-0.005175749,-0.0064144554
CXCL1,-0.006496088,-0.00039677735,-0.028416973,-0.004830115,-0.0006069637,0.016806804,-0.004355737,0.024262916,0.009974228,0.024208808,-0.07107468,0.009063038,0.013058921,0.0145424185,0.08636701,0.03535283,0.026115553,0.036202744,-0.020742299,0.0012197386,0.039747335,-0.001435713,0.03780898,-0.0038318147,0.0034000368,0.02096378,-0.017329756,-0.010031165,0.0756743,0.06220507,-0.010028039,-0.009771728,0.008083285,-0.0052103936
IER3,-0.0031386202,-0.004268546,0.006864851,0.0016430574,-0.00063819165,0.00065115414,0.0013610461,-0.002980743,-0.0027939589,0.002251615,0.0016752384,-0.002124089,-0.004295852,0.004143188,0.023524467,0.0066956584,0.03445668,0.052127626,-0.023024473,0.0028891857,0.044486724,0.009545509,-0.00085229875,0.015475165,0.0036787335,0.014404761,-0.0113965655,0.003194467,0.08614011,-0.0012607068,0.003916927,0.011810324,0.0051489803,0.001012519
CD83,-0.031245977,0.0167134,-0.007995436,0.0019557572,0.0012101473,-0.002074617,-0.012593704,-0.0041084024,0.008325197,0.012571077,-0.013681833,0.009528814,-0.00070348836,0.006113471,0.04562596,0.005302523,0.0104030995,0.0073865545,0.0547894,-0.0075144055,0.012478754,-0.010770845,-0.0053571695,0.011323496,0.015229891,-0.004357697,0.07195897,-0.009017793,0.02083956,0.04289727,-0.00527396,-0.0062384917,-0.0025983253,0.011051582
CCL20,0.0073547787,0.00332321,0.0054961108,0.0037712457,0.006158958,-0.008808345,-0.0033233117,-0.00909238,0.001393803,0.0062408177,-0.022445908,-0.007923303,-0.014827494,-0.010230164,0.03468923,-0.0060188286,0.10085824,0.115187004,0.029623013,-0.0043631545,0.08606281,-0.006353826,-0.012371318,-0.00078510266,-0.009319113,-0.0051521254,-0.024544895,-0.011139442,0.12192445,0.026481807,0.0019913032,0.0025294533,-0.0028574467,7.3615636e-05
