,spearman_rho,p_value,is_ntc,cvae_de_overlap
NTg1,0.5092276219919741,5.426321832676347e-245,True,4
NTg10,0.4901508924193136,1.9793765180933958e-224,True,2
NTg2,0.4993385962658047,3.600932969946523e-234,True,2
NTg3,0.4948911389500841,2.034510857673344e-229,True,2
NTg4,0.5493116286197768,1.0245816325221378e-292,True,4
NTg5,0.4740693088869938,4.412965415000564e-208,True,0
NTg7,0.4466667711115964,3.646078583540719e-182,True,3
NTg8,0.5102787677553666,3.6567003386582657e-246,True,2
NTg9,0.4531307915423787,4.571738301362986e-188,True,3
tar-ATF2,0.4749588167605028,5.796162116274111e-209,False,3
tar-BRD4,0.6714719164083786,0.0,False,13
tar-CAV1,0.4955457810811506,4.105732012370315e-230,False,0
tar-CD86,0.5043937647904594,1.1719623896669791e-239,False,1
tar-CMTM6,0.4849502671732828,4.7789233387529034e-219,False,2
tar-CUL3,0.6639494218334085,0.0,False,14
tar-ETV7,0.5129954976861661,3.2841204740860436e-249,False,8
tar-IFNGR1,0.8569411455565575,0.0,False,17
tar-IFNGR2,0.8388869805486754,0.0,False,17
tar-IRF1,0.8108615840638267,0.0,False,18
tar-IRF7,0.478586549289815,1.3821692842815397e-212,False,3
tar-JAK2,0.8381513904899408,0.0,False,18
tar-MARCH8,0.49859730603847147,2.256139044034686e-233,False,5
tar-MYC,0.5744334553706627,0.0,False,5
tar-NFKBIA,0.561869985976812,4.791964997615873e-309,False,9
tar-PDCD1LG2,0.49155596555692704,6.7017789570102495e-226,False,4
tar-POU2F2,0.518386937822308,2.4420070082043993e-255,False,7
tar-SMAD4,0.7660282960191631,0.0,False,13
tar-SPI1,0.5451449228968085,1.890405902985988e-287,False,6
tar-STAT1,0.7917347490149219,0.0,False,18
tar-STAT2,0.7323239544427161,0.0,False,18
tar-STAT3,0.49941504157810396,2.9793246931139206e-234,False,0
tar-STAT5A,0.47701799275096096,5.15532095105125e-211,False,3
tar-TNFRSF14,0.4989915527572651,8.506707615986423e-234,False,4
tar-UBE2L6,0.47903254578800486,4.9223580174128094e-213,False,3
