,NTg1,NTg10,NTg2,NTg3,NTg4,NTg5,NTg7,NTg8,NTg9,tar-ATF2,tar-BRD4,tar-CAV1,tar-CD86,tar-CMTM6,tar-CUL3,tar-ETV7,tar-IFNGR1,tar-IFNGR2,tar-IRF1,tar-IRF7,tar-JAK2,tar-MARCH8,tar-MYC,tar-NFKBIA,tar-PDCD1LG2,tar-POU2F2,tar-SMAD4,tar-SPI1,tar-STAT1,tar-STAT2,tar-STAT3,tar-STAT5A,tar-TNFRSF14,tar-UBE2L6
TPD52L1,0.0071483273,-0.0030902585,-0.0070657437,-0.00021382186,-0.008624773,0.003396013,-0.0022410606,0.012055718,0.0034566536,0.00060466427,-0.01221331,-0.0008933933,-0.0067828577,-0.0029301425,-0.019587306,0.0044054943,0.054931726,0.05027195,0.007329608,-0.006378179,0.059329946,0.00073488936,-0.003679587,-0.0142657235,-0.0036401988,-0.011361027,-0.060508363,-0.007235838,0.039195936,-0.0012575891,0.0034913707,-0.00075165345,0.00021760633,-0.0088094855
ELOVL2,0.00029430454,0.000140698,-0.0004711991,0.00017011269,0.00022172023,0.00075761176,-0.0008074053,0.0008616258,0.00085775356,0.0007285693,-0.0014272382,0.00047559844,-0.00038976053,-0.000732183,0.0003563312,0.00083025364,0.00198137,-0.0003640885,0.0027636164,6.0182458e-05,0.0018986603,0.00019735693,8.60352e-05,2.0448333e-05,0.0011072877,0.0004170504,0.00029536954,-0.0006658358,0.00058068935,-0.00043432706,-1.1460842e-05,-0.00018328102,-0.0008790254,0.0006173014
RET,-0.00062435353,4.685766e-05,0.0016262644,0.002018008,0.0011156809,-0.00067631697,0.0001904943,-0.004263577,-0.001530297,-0.0013330642,-0.004998436,-9.619642e-06,-0.0006451467,0.0020436582,0.006382899,-0.00075709756,0.011877043,0.007838013,0.0045733578,0.0006765675,0.007937703,0.0013770327,0.0032856879,0.0004911083,0.0011970131,-0.0018283102,0.008955818,0.00073523284,0.00286249,-0.0019933134,-0.002332659,0.0014476883,-0.0005703585,0.003010366
MAPT,-0.0004078629,-0.001693631,0.00043726614,0.0010334487,-0.00030395365,-0.00049929443,0.00095887843,-0.0014927824,0.0014426531,0.00057934306,-7.7187055e-05,-0.0012613577,-0.0014691928,-0.0008201044,-0.0010413253,0.0004211245,-0.0028985098,-0.0008425808,-0.0002824316,-0.00015190471,-0.001901744,-0.0020925466,-0.001511483,-0.0012285244,-0.0010976034,-2.9232157e-05,0.0016851764,0.0024076588,-0.0005612399,0.0004788853,0.0010348076,-0.000400227,-0.0014793634,0.0008673062
SCNN1A,-0.0013019178,-7.767343e-05,-0.0002107725,-0.0011328661,0.0007494144,-0.0006725544,0.0005320986,-0.0005286899,0.0017102311,0.000836234,0.0012338184,0.0008234914,-0.00076330436,-2.7587791e-06,-0.0006142972,-0.00045284483,-0.0009478484,0.0012147704,0.0008661363,-0.0009807469,-0.0014704422,-7.009204e-05,0.00045464165,0.00017384642,0.00036605843,0.00022655088,-0.0036701616,-0.0018086708,-0.0012263784,-0.00082828174,0.0009490245,-0.0011735607,-0.0018342508,-8.008033e-05
ABAT,0.0003912865,0.0014157995,-0.0012588846,0.0043074223,-0.00090929144,0.0029772033,0.0006430829,-0.003911718,-0.0002553286,-0.0007945403,-0.0059498614,0.0007487528,0.00054177333,-0.00021336695,-0.0008015647,-0.0018036243,0.0006389557,0.002430165,-0.0034476765,-0.0036693665,-0.00026171602,0.0016016131,0.0043780846,-0.0028338314,0.00027589293,-0.003837129,-0.01407894,-0.0032129807,0.000280122,-0.008228979,0.00082849787,0.0020999988,0.001290249,-0.0017920865
FLNB,-0.0027606774,-0.00026238133,0.0012093124,0.0055364217,-0.008465452,0.002307517,0.00019886837,0.0050958768,-0.0007721731,-0.0026628894,0.005010322,-0.004101059,0.00199346,-0.0011451915,0.0066295224,-0.0088721225,0.04050872,0.05566611,-0.007599554,-0.007042372,0.05492824,-0.0036311648,0.00089601474,-0.0046296953,0.0051946035,-0.0037904398,-0.022555808,0.00030351116,0.021757705,0.0046705566,0.0015416098,-0.003842627,-0.002163741,-0.0028267857
XBP1,-0.0026563099,-0.0116960015,-0.0015746312,-0.018089758,0.032977693,-0.004574945,-0.003483144,-0.00020427816,0.00980928,0.027024336,-0.030277608,-0.00034759045,0.007813342,0.009369499,-0.0016238069,0.016029386,0.0026395589,0.017844047,0.00092328485,0.03420315,0.0058496743,0.020560453,-0.016889298,0.02881346,0.008205775,0.02509086,0.027874097,-0.018883007,0.013658892,0.06766652,0.0009755963,0.019407675,0.006724684,0.025699498
CELSR2,-0.00057077775,0.0011084921,0.00022243623,0.0012524828,-0.0017844753,-0.00045428524,-0.0007832975,-0.0018857849,-0.0010193416,-0.0013813679,-0.002021527,0.00066874735,0.00081240217,-0.00013444843,-0.0006575508,-0.0032107157,0.0005269587,0.0024419918,0.0014766953,-0.00049844995,0.0052573313,-0.0002872231,-0.00021810194,-0.0010776613,0.00017872512,-0.0020242445,-0.0033049511,-0.0010151215,0.0009621723,-0.0004341682,-0.0006212836,0.00042920635,-0.0011883115,-0.0015230305
RAB31,-0.006028699,0.011653903,-0.038005587,0.022970887,-0.021094756,-0.015997432,0.0102297105,0.007303325,-0.013109268,-0.028222438,-0.010606111,-0.0048348294,-0.012839769,-0.019549396,-0.06632341,-0.011757402,-0.13681537,-0.10913188,-0.024662338,-0.021170272,-0.133228,-0.01738058,0.0015217463,-0.027459664,0.009417072,-0.028425092,-0.33547264,-0.015997974,-0.093591526,-0.028122133,-0.026261596,-0.014197929,-0.0107399775,0.006872114
