perturbation,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_HYPOXIA,HALLMARK_G2M_CHECKPOINT,HALLMARK_ADIPOGENESIS,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_MYOGENESIS,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_APICAL_JUNCTION,HALLMARK_COMPLEMENT,HALLMARK_MTORC1_SIGNALING,HALLMARK_E2F_TARGETS,HALLMARK_MYC_TARGETS_V1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_XENOBIOTIC_METABOLISM,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_GLYCOLYSIS,HALLMARK_P53_PATHWAY,HALLMARK_HEME_METABOLISM,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_MITOTIC_SPINDLE,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_APOPTOSIS,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_UV_RESPONSE_UP,HALLMARK_DNA_REPAIR,HALLMARK_UV_RESPONSE_DN,HALLMARK_COAGULATION,HALLMARK_SPERMATOGENESIS,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PEROXISOME,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_PROTEIN_SECRETION,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_MYC_TARGETS_V2,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_APICAL_SURFACE,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_PANCREAS_BETA_CELLS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_ANGIOGENESIS,HALLMARK_NOTCH_SIGNALING
NTg1,3.734679655078286,2.1465570053216174,0.03376905117920521,0.03745924384596685,0.0428194038316623,0.39651989005464505,0.2129945135172576,4.465322015733886,0.7673924500722137,2.7002256895360217,0.5870323777493343,0.12862182700826633,0.9411317651796155,0.40457740345517473,2.6226130217083385,0.048973970550640324,0.15204427737785753,0.15204427737785753,2.6074311429336032,0.16534659293637907,1.6275912215857873,1.7336626879660995,-0.0,-0.0,1.0385765252132555,1.7835067012843788,0.2589858554087423,0.9160717380232557,0.062294695770729644,-0.0,1.243537620207924,-0.0,1.2801148517212646,0.13588770492732924,0.424856384862822,0.43051167313617694,0.4792109704763898,0.43625800198504056,-0.0,1.0530563272748197,0.635243825954304,-0.0,0.2835764375563126,0.8844086778149785,-0.0,-0.0,-0.0,-0.0,1.361215505885984,-0.0
NTg10,5.245495410199768,0.7095080054517746,0.03376905117920521,0.03745924384596685,-0.0,0.17140924148787443,0.056902389884237715,10.0,-0.0,3.3678821132403924,0.03090214719636495,0.03044898460329131,0.3150643979256573,0.40457740345517473,5.564734216777602,0.048973970550640324,-0.0,0.03745924384596685,1.0306966711889545,-0.0,5.0391064293819126,0.44306166026324756,0.37774903868508325,-0.0,0.6563727957933831,3.765778821744196,-0.0,1.9583705866879677,0.22912127249337436,-0.0,0.7472195225895986,-0.0,0.37774903868508325,-0.0,0.13369499899655896,0.13588770492732924,0.1550061288829249,10.0,-0.0,2.4209280812022946,1.2072555185818277,-0.0,-0.0,0.32583098272888067,0.45314059163856135,-0.0,-0.0,-0.0,0.5413963639219164,-0.0
NTg2,4.465322015733886,0.7095080054517746,0.13983544807160156,0.6563727957933831,0.0428194038316623,0.04346183909612465,0.4757236134745276,10.0,-0.0,2.092795039440452,0.5870323777493343,0.12862182700826633,-0.0,0.40457740345517473,3.2773372311939344,0.7673924500722137,-0.0,0.03745924384596685,3.2596142640640675,-0.0,5.0391064293819126,1.2209463639798102,-0.0,-0.0,1.0385765252132555,0.8160596965743662,0.5608104147589565,0.5270584946514052,0.22912127249337436,0.08072783690105496,0.7472195225895986,-0.0,0.11567298275427809,-0.0,0.13369499899655896,-0.0,0.1550061288829249,9.862298989060971,-0.0,4.150102567606724,0.21867436511217475,-0.0,0.7876385083873496,0.32583098272888067,-0.0,-0.0,-0.0,-0.0,0.5413963639219164,-0.0
NTg3,0.9411317651796155,0.0428194038316623,0.9847918347936193,0.358696136699317,0.0428194038316623,1.1212186686698804,0.4757236134745276,10.0,0.048973970550640324,2.092795039440452,0.03090214719636495,0.12862182700826633,0.03090214719636495,0.17557842698654863,3.2773372311939344,0.4298144974392295,-0.0,0.03745924384596685,0.6507401325491515,0.041563733259286965,1.6275912215857873,1.2209463639798102,0.37774903868508325,0.13016627127880748,0.6563727957933831,0.8160596965743662,0.5608104147589565,0.06618692510630703,0.062294695770729644,-0.0,0.36343202683924125,-0.0,0.11567298275427809,-0.0,-0.0,0.43051167313617694,-0.0,10.0,-0.0,3.245778104441293,0.21867436511217475,-0.0,0.2835764375563126,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
NTg4,4.465322015733886,0.7095080054517746,0.13983544807160156,0.15204427737785753,0.1693632316628214,0.17140924148787443,0.056902389884237715,10.0,0.048973970550640324,2.7002256895360217,0.9411317651796155,0.12862182700826633,-0.0,0.7282487811347562,5.564734216777602,0.1887303140972288,0.03745924384596685,0.358696136699317,2.6074311429336032,0.041563733259286965,0.7282487811347562,0.7878387206622981,1.2801148517212646,-0.0,1.4979788684800328,3.042192408296609,0.2589858554087423,0.5270584946514052,0.062294695770729644,-0.0,0.7472195225895986,-0.0,0.11567298275427809,-0.0,0.13369499899655896,0.13588770492732924,0.1550061288829249,10.0,-0.0,1.6855120916013522,1.2072555185818277,-0.0,-0.0,0.32583098272888067,-0.0,-0.0,-0.0,-0.0,0.5413963639219164,-0.0
NTg5,0.3150643979256573,1.1126274008583414,0.3344769706495156,0.03745924384596685,0.0428194038316623,0.7156954083230431,0.056902389884237715,0.3150643979256573,0.048973970550640324,1.550446173063997,4.465322015733886,0.5820303179306818,0.03090214719636495,0.17557842698654863,0.03745924384596685,0.1887303140972288,0.03745924384596685,0.15204427737785753,1.0306966711889545,0.041563733259286965,0.04477672794295085,0.44306166026324756,-0.0,0.03090214719636495,0.358696136699317,1.2597509453999525,0.5608104147589565,0.06618692510630703,0.062294695770729644,0.08072783690105496,0.7472195225895986,-0.0,8.12965925245538,-0.0,2.0431966023649197,-0.0,0.1550061288829249,0.8732487336712079,0.9036881876401498,-0.0,2.7076934877355248,-0.0,-0.0,0.32583098272888067,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
NTg7,3.734679655078286,2.764440187558195,0.13983544807160156,0.15204427737785753,0.0428194038316623,0.39651989005464505,0.2129945135172576,7.861599483728666,0.048973970550640324,1.0790034500152181,0.5870323777493343,0.311943240814888,0.03090214719636495,1.1386298828951664,3.988071055485028,0.7673924500722137,-0.0,0.15204427737785753,3.9677718775625324,0.041563733259286965,1.1386298828951664,1.7336626879660995,-0.0,-0.0,2.6226130217083385,3.765778821744196,1.4656139467562197,0.5270584946514052,0.062294695770729644,0.08072783690105496,0.36343202683924125,-0.0,0.7722100121893135,-0.0,0.424856384862822,-0.0,0.1550061288829249,5.482185911567175,-0.0,2.4209280812022946,2.7076934877355248,-0.0,0.7876385083873496,0.8844086778149785,-0.0,-0.0,-0.0,-0.0,1.361215505885984,-0.0
NTg8,0.3150643979256573,0.1693632316628214,0.13983544807160156,0.358696136699317,-0.0,-0.0,0.2129945135172576,9.81901816594275,0.048973970550640324,2.092795039440452,0.9411317651796155,-0.0,0.03090214719636495,0.7282487811347562,1.4979788684800328,1.1927620967736454,0.03745924384596685,0.6563727957933831,0.3551275668933957,0.041563733259286965,1.1386298828951664,0.44306166026324756,0.37774903868508325,-0.0,0.15204427737785753,0.2053875723977307,0.2589858554087423,0.2405953406558609,0.22912127249337436,-0.0,0.36343202683924125,0.1273556354106071,1.8858094572989157,-0.0,0.424856384862822,-0.0,-0.0,8.68846479483257,-0.0,1.6855120916013522,1.904800937753285,-0.0,0.2835764375563126,4.517170027604583,-0.0,-0.0,-0.0,-0.0,1.361215505885984,0.48780486832783115
NTg9,0.13016627127880748,0.392555101345414,3.155859249019566,0.358696136699317,-0.0,1.1212186686698804,0.4757236134745276,1.8701905628548172,-0.0,2.7002256895360217,0.03090214719636495,1.8586746324410084,0.13016627127880748,2.188005393607646,1.0385765252132555,0.048973970550640324,-0.0,0.15204427737785753,1.0306966711889545,-0.0,1.6275912215857873,2.969407891830338,0.37774903868508325,0.13016627127880748,1.4979788684800328,1.2597509453999525,0.2589858554087423,0.06618692510630703,-0.0,-0.0,2.5160690639221452,-0.0,0.37774903868508325,-0.0,-0.0,0.43051167313617694,-0.0,1.4270584298459188,0.14508229235007464,0.18041375083699485,0.21867436511217475,-0.0,0.2835764375563126,-0.0,-0.0,-0.0,-0.0,-0.0,2.371394453101557,-0.0
tar-ATF2,0.9411317651796155,0.1693632316628214,0.9847918347936193,0.358696136699317,0.1693632316628214,0.7156954083230431,0.056902389884237715,10.0,-0.0,1.550446173063997,0.5870323777493343,0.311943240814888,0.3150643979256573,0.40457740345517473,3.2773372311939344,0.1887303140972288,0.15204427737785753,0.15204427737785753,2.0152124052445304,0.041563733259286965,0.7282487811347562,1.2209463639798102,0.7722100121893135,-0.0,1.0385765252132555,1.2597509453999525,0.2589858554087423,0.06618692510630703,0.062294695770729644,-0.0,0.36343202683924125,0.1273556354106071,0.11567298275427809,-0.0,-0.0,-0.0,-0.0,10.0,-0.0,1.0530563272748197,0.635243825954304,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.5413963639219164,-0.0
