,spearman_rho,p_value,is_ntc,cvae_de_overlap
NTg1,0.5076721323516952,2.8870579328117356e-243,True,6
NTg10,0.488362679692446,1.438445299113919e-222,True,2
NTg2,0.5343590292667911,3.704424902033291e-274,True,4
NTg3,0.48180627532578824,7.737300878582318e-216,True,1
NTg4,0.547864336281357,7.048679120894477e-291,True,5
NTg5,0.466318096803807,1.6499754819569517e-200,True,2
NTg7,0.4606951287669279,3.889632800000708e-195,True,4
NTg8,0.525922947449014,4.304980877323941e-264,True,2
NTg9,0.46571843402703744,6.240634747765676e-200,True,3
tar-ATF2,0.4593523148582064,7.212134531013371e-194,False,5
tar-BRD4,0.6702287003199461,0.0,False,10
tar-CAV1,0.5272668266176159,1.120945535915073e-265,False,2
tar-CD86,0.5081027885567563,9.62722165610379e-244,False,2
tar-CMTM6,0.48823946467920076,1.9308193685250908e-222,False,4
tar-CUL3,0.6606831414307858,0.0,False,12
tar-ETV7,0.5254318067751786,1.626411307322602e-263,False,9
tar-IFNGR1,0.7765608476436614,0.0,False,14
tar-IFNGR2,0.7733930806973581,0.0,False,13
tar-IRF1,0.7622632302700525,0.0,False,16
tar-IRF7,0.5094901527055129,2.7689882838215923e-245,False,8
tar-JAK2,0.7666020004243158,0.0,False,14
tar-MARCH8,0.5131238115906032,2.354168484654664e-249,False,5
tar-MYC,0.578578675121847,0.0,False,8
tar-NFKBIA,0.5449008465934237,3.825862429644805e-287,False,7
tar-PDCD1LG2,0.5168720874332539,1.3210056009049903e-253,False,4
tar-POU2F2,0.5185358429479444,1.647815762535217e-255,False,7
tar-SMAD4,0.6837381034557581,0.0,False,8
tar-SPI1,0.54662678863189,2.583660944535063e-289,False,7
tar-STAT1,0.6995399418668323,0.0,False,15
tar-STAT2,0.6332615473967026,0.0,False,17
tar-STAT3,0.46169528363785683,4.381915841396878e-196,False,1
tar-STAT5A,0.4734602575885792,1.7654574201207546e-207,False,1
tar-TNFRSF14,0.4798197932622787,7.926459745298577e-214,False,3
tar-UBE2L6,0.49304512121682115,1.8211450687256652e-227,False,6
