,spearman_rho,p_value,is_ntc,cvae_de_overlap
NTg1,0.5143848915423406,8.862938266264679e-251,True,2
NTg10,0.46324191924059555,1.4759200928300596e-197,True,3
NTg2,0.5249699627643274,5.664867994825508e-263,True,5
NTg3,0.42248365964811946,3.4637302417445165e-161,True,0
NTg4,0.4221262790136766,6.8691253243329586e-161,True,4
NTg5,0.46595688443125843,3.678150339861453e-200,True,1
NTg7,0.46945477940119895,1.501527230322663e-203,True,2
NTg8,0.4782707413237446,2.86853814065478e-212,True,2
NTg9,0.4252085536668357,1.8215121956913174e-163,True,4
tar-ATF2,0.4252717245406507,1.6119293903646593e-163,False,2
tar-BRD4,0.4732843137749339,2.633744367609551e-207,False,5
tar-CAV1,0.41115523577186575,6.192756874313344e-152,False,1
tar-CD86,0.37723603872390715,2.7314417885553756e-126,False,0
tar-CMTM6,0.3489189853216825,4.199580320801833e-107,False,1
tar-CUL3,0.5735260927488772,0.0,False,5
tar-ETV7,0.367376015037758,2.1811061697196774e-119,False,1
tar-IFNGR1,0.4036424355260383,5.415122014775089e-146,False,3
tar-IFNGR2,0.49420374097315456,1.0881293643022745e-228,False,1
tar-IRF1,0.4905798109260978,7.05367100659701e-225,False,4
tar-IRF7,0.36528526120979193,5.908450594716916e-118,False,1
tar-JAK2,0.5361270699063883,2.6474455796029818e-276,False,4
tar-MARCH8,0.4917055538982408,4.669262852943165e-226,False,3
tar-MYC,0.3810706411888256,4.858900140666221e-129,False,4
tar-NFKBIA,0.5213623426580625,9.075935981922354e-259,False,4
tar-PDCD1LG2,0.48888723945953416,4.102246779613594e-223,False,4
tar-POU2F2,0.43257020743858315,9.933834199461931e-170,False,1
tar-SMAD4,0.46147116071861316,7.152032278336673e-196,False,1
tar-SPI1,0.4822959274079794,2.4602307355959138e-216,False,3
tar-STAT1,0.6023016091279552,0.0,False,1
tar-STAT2,0.4057818038440398,1.140684697651169e-147,False,3
tar-STAT3,0.46094509626078445,2.2553363729726992e-195,False,1
tar-STAT5A,0.5072784107075378,7.868754672710808e-243,False,3
tar-TNFRSF14,0.4183726025678423,8.678778053009195e-158,False,3
tar-UBE2L6,0.3830062602340483,1.924690229489342e-130,False,2
