,spearman_rho,p_value,is_ntc,cvae_de_overlap
NTg1,0.4764321772518588,1.9821798366950174e-210,True,3
NTg10,0.4551205226208044,6.570628548825267e-190,True,3
NTg2,0.5015561883548475,1.4472281895294451e-236,True,1
NTg3,0.4780843108075209,4.4126269438248294e-212,True,1
NTg4,0.5475884232685067,1.5754344358107095e-290,True,10
NTg5,0.47120956745734344,2.893346719613772e-205,True,3
NTg7,0.4443911554293953,4.067179728973721e-180,True,3
NTg8,0.49487659139891244,2.1080880937967602e-229,True,3
NTg9,0.4542607911410569,4.123005426449787e-189,True,5
tar-ATF2,0.47663813944779787,1.2349150680749127e-210,False,6
tar-BRD4,0.6578837759900141,0.0,False,9
tar-CAV1,0.5008250808471844,8.961447462797553e-236,False,2
tar-CD86,0.4920420147136586,2.069961888324197e-226,False,4
tar-CMTM6,0.4953634067702734,6.41474730075994e-230,False,0
tar-CUL3,0.6214451609089962,0.0,False,13
tar-ETV7,0.4852326630788286,2.451467283339665e-219,False,7
tar-IFNGR1,0.7525992776654435,0.0,False,13
tar-IFNGR2,0.7415406727729189,0.0,False,14
tar-IRF1,0.7750061680577409,0.0,False,15
tar-IRF7,0.46344811705132494,9.379099836579922e-198,False,5
tar-JAK2,0.729773311044128,0.0,False,15
tar-MARCH8,0.5026130896611053,1.0290229427825008e-237,False,9
tar-MYC,0.5324730588692976,6.977886158294847e-272,False,6
tar-NFKBIA,0.5552061532236696,2.7076897927625133e-300,False,6
tar-PDCD1LG2,0.4753694960510186,2.2658734485219263e-209,False,2
tar-POU2F2,0.5134939704456574,9.003322172139658e-250,False,7
tar-SMAD4,0.6758140295110515,0.0,False,8
tar-SPI1,0.5519123810931348,4.849956849918365e-296,False,11
tar-STAT1,0.6788523255605897,0.0,False,15
tar-STAT2,0.670254095126215,0.0,False,18
tar-STAT3,0.48355943950975144,1.268148131245509e-217,False,5
tar-STAT5A,0.4730592039404513,4.392232426360721e-207,False,4
tar-TNFRSF14,0.47499541428411224,5.331051251284487e-209,False,4
tar-UBE2L6,0.4474080458658309,7.789203540001315e-183,False,9
