,spearman_rho,p_value,is_ntc,cvae_de_overlap
NTg1,0.45434083841035694,3.475742078654102e-189,True,3
NTg10,0.46011994639299264,1.3608399250026389e-194,True,7
NTg2,0.48525373003139455,2.332319952455771e-219,True,2
NTg3,0.45687720535439125,1.5160926871349402e-191,True,8
NTg4,0.6099935639721307,0.0,True,13
NTg5,0.4565216819296315,3.256706535252549e-191,True,1
NTg7,0.40517036879345975,3.447879263643506e-147,True,3
NTg8,0.4857120262186266,7.883052081456932e-220,True,9
NTg9,0.39533620480654497,1.3391250833717447e-139,True,1
tar-ATF2,0.44898203043728785,2.901447956876625e-184,False,6
tar-BRD4,0.5585056330617083,1.3305171194396805e-304,False,5
tar-CAV1,0.38811483413001024,3.449747009673877e-134,False,2
tar-CD86,0.45247292435451825,1.8474448995790042e-187,False,5
tar-CMTM6,0.46316775698524765,1.7371948130026828e-197,False,3
tar-CUL3,0.6685697379903345,0.0,False,13
tar-ETV7,0.498297834005477,4.7289730512951535e-233,False,7
tar-IFNGR1,0.9082745539098875,0.0,False,18
tar-IFNGR2,0.8898803399104092,0.0,False,18
tar-IRF1,0.8851919673299372,0.0,False,19
tar-IRF7,0.46942655975869585,1.5996809066999354e-203,False,5
tar-JAK2,0.8932907946364357,0.0,False,19
tar-MARCH8,0.5071932869067904,9.771845651134569e-243,False,8
tar-MYC,0.6216405861380032,0.0,False,9
tar-NFKBIA,0.5818073322585368,0.0,False,9
tar-PDCD1LG2,0.41226041020075566,8.032913473896123e-153,False,5
tar-POU2F2,0.5662611090933151,6.35980303e-315,False,8
tar-SMAD4,0.8066765544148942,0.0,False,15
tar-SPI1,0.5034601553576453,1.2283884985079015e-238,False,5
tar-STAT1,0.8883115880283986,0.0,False,18
tar-STAT2,0.7603624577087256,0.0,False,19
tar-STAT3,0.4752265608962466,3.1424503027909756e-209,False,1
tar-STAT5A,0.45783086880553775,1.941206087335574e-192,False,4
tar-TNFRSF14,0.4673934357284821,1.5084695110483545e-201,False,2
tar-UBE2L6,0.45001475714988187,3.318932471682809e-185,False,8
