train_total,train_recon,train_kl,val_total,val_recon,val_kl
0.1980171663420541,0.19627849033900668,0.17386766712048224,0.14388776676995413,0.14383871214730398,0.004905323298381907
0.14814489441258566,0.14803650975227356,0.010838365847510951,0.14257119596004486,0.14256113980497634,0.0010053554682859353
0.14477231332233975,0.14468362757137843,0.008868628873356751,0.14100940099784307,0.1409686654806137,0.004073569151972022
0.14201888016292027,0.14193297113691059,0.008591001201421023,0.1403887825352805,0.14036170712539128,0.0027074387430080344
0.14029879357133593,0.1402310039315905,0.006778926734945604,0.1396036616393498,0.13957147300243378,0.003218944583620344
0.1391580309186663,0.1390970208815166,0.006101085777793612,0.13854239668164933,0.13851543409483774,0.0026960700883397032
0.1379620237009866,0.1378999901669366,0.006203344530825104,0.13733966222831182,0.13729003497532435,0.00496281310915947
0.13631565059934345,0.13599286377429962,0.03227865597499269,0.13481086918285914,0.13436938609395707,0.044148260461432595
0.13448198565414973,0.1338705931391035,0.06113930227501052,0.13345819073063986,0.13284024170466832,0.06179444757955415
0.13329317825181144,0.13257519773074558,0.07179795503616333,0.13266716045992716,0.13197344754423415,0.06937109412891525
0.1322180654321398,0.13148187909807477,0.07361876262085779,0.13202670429434096,0.13133480506283896,0.06918973156384059
0.13142653916563307,0.13074635650430408,0.06801817044615746,0.13157392399651663,0.13090865526880538,0.06652715376445226
0.1308367337499346,0.13017304880278452,0.06636861115694045,0.1309698543378285,0.1302860357931682,0.06838198006153107
0.12989279074328286,0.1290799847670964,0.08128064083201544,0.12965019047260284,0.1287459284067154,0.09042596178395408
0.12857556896550315,0.12760342189243862,0.09721470070736749,0.1286328850047929,0.12762632008109773,0.10065657326153346
0.1279875861746924,0.12689141652413777,0.10961695100579943,0.12811520908560073,0.12700673192739487,0.11084756680897304
0.1274287115250315,0.1262667036482266,0.11620090923139027,0.12749521434307098,0.12631860375404358,0.11766137395586286
0.1269674992987088,0.12577707767486573,0.1190421046955245,0.1273505687713623,0.12612015434673854,0.12304168088095528
0.12660937479564122,0.12539991778986795,0.12094571675573076,0.12691239374024527,0.12575419885771616,0.1158192189676421
0.12639976356710705,0.12518714432205472,0.12126183020217078,0.12678652788911546,0.12563158678156988,0.11549416610172816
0.12606646099260876,0.12487911028521402,0.11873515227011272,0.12665661530835287,0.1254867368510791,0.11698772651808602
0.1258418619632721,0.1246874042919704,0.115445719233581,0.12663309382540838,0.12545925272362574,0.11738419319902148
0.1256605476140976,0.1245081216096878,0.11524270113025392,0.1265527829527855,0.12537709410701478,0.11756903997489385
0.12551974420036588,0.12435447978121894,0.1165264646921839,0.12618555022137506,0.12505011473383223,0.11354334013802665
0.12538368105888367,0.12421065164463861,0.11730297484568188,0.1262191076363836,0.12504278868436813,0.11763182388884681
0.12531270746673856,0.12413112223148345,0.11815852607999529,0.12647480304752076,0.1252403844680105,0.12344162804739815
0.12506994370903288,0.12388066117252622,0.11892830708197184,0.12602526481662477,0.12483240770442146,0.11928559839725494
