,NTg1,NTg10,NTg2,NTg3,NTg4,NTg5,NTg7,NTg8,NTg9,tar-ATF2,tar-BRD4,tar-CAV1,tar-CD86,tar-CMTM6,tar-CUL3,tar-ETV7,tar-IFNGR1,tar-IFNGR2,tar-IRF1,tar-IRF7,tar-JAK2,tar-MARCH8,tar-MYC,tar-NFKBIA,tar-PDCD1LG2,tar-POU2F2,tar-SMAD4,tar-SPI1,tar-STAT1,tar-STAT2,tar-STAT3,tar-STAT5A,tar-TNFRSF14,tar-UBE2L6
JUNB,-0.004435901,-0.0038901302,-0.011392827,-0.015318704,0.020802202,0.003870371,0.002797144,0.0063771224,0.0029685998,0.018092604,0.14154145,0.003286246,0.0012408623,0.007444983,0.048571024,0.019208992,0.0523519,0.03236948,0.041898694,-0.004088085,0.02945441,-0.002383776,-0.0059778895,0.016005185,0.013442733,-0.017474724,0.0052132397,0.034017146,0.068889976,0.042099223,-0.019595139,-0.0039733257,0.0027205048,0.006998028
CXCL2,-0.0075060157,0.0005139656,2.9832354e-05,0.007571675,-0.0026431726,-0.0030368282,-0.0017962485,0.001661328,-0.0023043978,-0.0001324497,-0.021236613,0.0010685,-0.00045938205,0.0018851914,0.10513393,0.00084118143,0.02928608,0.026411694,0.029664569,0.0020351056,0.03325218,-0.00345009,0.027785178,0.002574784,0.0017741459,-0.0023740071,-0.0147532765,-0.0051963255,0.020374503,0.010275525,-0.006161258,-0.00046844746,0.0015956112,-0.0024460193
ATF3,-0.025721492,-0.0045276405,-0.025152886,0.0041189175,0.004290726,-0.0040384065,-0.010043837,0.002177907,0.009349165,0.012958603,-0.040448025,-0.0022199792,0.0030095484,-0.0062251706,0.11173742,0.0035056584,-0.1280099,-0.13601829,-0.10792641,-0.0009838645,-0.13357581,-0.014757532,0.039466146,0.009868862,0.0046602227,-0.0020068977,-0.08834537,-0.008287535,-0.16400394,-0.04337324,-0.022813369,-0.009256049,-0.0037369472,-0.001302595
NFKBIA,-0.004444644,0.027374841,-0.014743524,-0.01944461,0.016966136,-0.0050939233,0.0026682634,0.004647948,0.0072600264,0.009155769,0.20675203,-0.0037358191,0.016385978,0.0034829103,0.12949046,0.03290189,0.23488201,0.23552959,0.011207962,-0.012994195,0.24099787,-0.009441962,-0.04377342,-0.011145414,0.018783992,-0.022063773,0.041535776,0.057637203,0.26451078,0.1666492,-0.028954934,-0.016263237,0.01696458,0.015970852
TNFAIP3,-0.006705576,-0.00056711974,-0.014244877,0.0009386199,0.007471088,0.004432424,-0.0058335196,0.0031539367,0.008470316,0.008897297,0.073998764,0.0019161747,0.004239668,0.005886719,0.035657417,0.014520437,-0.066233024,-0.08135091,-0.06858539,-0.0038824065,-0.07179126,0.00027205175,-0.005034479,0.0065191747,0.008241551,-0.009828531,-0.016276773,0.03969222,-0.06455419,0.02318803,-0.009950708,-0.009103868,0.0002285883,0.0067519117
PTGS2,-0.002393263,-0.0012888307,0.001702367,0.0021925294,-0.00061136315,0.0017687931,-0.00012102082,-0.0007005573,-0.0011037468,-0.0008271094,-0.011532073,-0.00013763274,-0.00085039553,0.0005097656,0.010160768,0.00022613056,-0.0074881385,-0.0071528438,-0.016141983,0.0008438874,-0.007883759,-0.0010493804,0.005116835,0.0010231847,-0.00088464626,0.001137396,-0.0010975129,-5.424178e-07,-0.0038876657,0.006746585,-0.00038292696,-0.0026635402,-0.0024219614,-0.0012450215
CXCL1,-0.010869054,-0.0024090756,-0.008907007,0.0058216164,-0.0019048109,0.0028394293,-0.013208835,0.01192525,0.0066155135,0.0003404222,-0.08776498,0.0059597148,0.004473083,-0.00197591,0.078627855,0.004459993,-0.0039588595,0.00058928924,-0.026975626,0.0011298475,0.005749469,-0.0071708616,0.056832273,-0.004955173,0.0040483885,0.0060407002,-0.05598709,-0.026495099,0.037684504,0.03954654,-0.010841569,-0.013460821,-0.0016276737,-0.0013446707
IER3,-0.0027570908,0.0008220011,0.00213949,0.0008602707,0.000505145,-0.0010658363,0.0028808473,0.0034383642,-0.0035706367,-0.0005617374,0.0050357827,-0.0017167163,-0.0020689303,0.001803023,0.02594628,0.004964036,0.034250353,0.04504787,-0.024044279,0.0006984386,0.034027383,-0.0038862326,-0.006420816,0.00536598,-0.0023610038,0.0026312657,-0.013295816,0.0019881583,0.07001039,0.002557443,-0.0013246477,-0.00349345,0.000513964,-2.6292344e-05
CD83,-0.023236927,0.0012622274,-0.008140301,0.0016172463,0.003985971,0.0033024158,0.000610888,0.001072504,0.008910001,0.010506693,0.015424623,0.001930244,0.0026468672,0.004015004,0.09912721,0.012838941,-0.018426182,-0.010337512,0.08545635,-0.0022384264,-0.017284073,-0.013525476,0.0201079,0.022461299,0.0012314611,0.011798919,0.05316343,0.011132862,-0.016199565,0.038890485,-0.011665842,-0.010828227,-0.0024942039,0.00942142
CCL20,-0.0010261071,0.0029153097,0.006496254,-0.0015386477,-0.00056433456,-0.0011786734,0.000557317,0.0023305265,0.0018398348,-2.8031747e-05,-0.012540452,-0.0024142473,0.0019503091,0.0014017856,0.05310827,0.00017158044,0.10502052,0.11408954,0.047894184,0.0011213128,0.109909736,-0.007377261,0.0043335264,0.001135407,1.1230922e-05,0.0005906714,-0.023576487,-0.012926548,0.1367093,0.02999914,-0.0016728892,-0.001472187,0.001985813,0.0016064524
CXCL3,-0.009118956,0.0015398983,-0.00017974272,0.008905094,-0.0029663683,-0.0038412584,-0.005234929,0.0004984481,0.000524638,0.002334804,-0.030434392,0.0011242087,0.0011692966,-0.0020759283,0.1421723,-0.0016439521,0.0026840724,0.007830153,0.018283581,0.00093914405,0.008673684,-0.0065065096,0.02700129,-0.0036110252,0.0030017586,-0.00057590316,-0.015458186,0.00073800277,0.0060189683,0.009688867,-0.009601248,-0.0029540213,-0.0013448356,-0.0021892602
MAFF,-0.005993044,0.00039785044,-0.0045696413,-0.0014859682,0.002072746,2.6606389e-05,-0.003572132,-0.000820308,0.0047302465,0.00027474237,-0.03960166,0.0008348974,0.0016763874,-0.007431618,0.047611814,0.0016448181,-0.0924127,-0.09350111,0.0013893917,-0.00020215282,-0.1017684,-0.005680058,0.0013852715,-0.003363681,0.004019615,0.00512435,-0.03713229,-0.006579573,-0.09103857,0.017565627,-0.0101719815,-0.0042589577,-0.0022982373,0.0017605969
NFKB2,-0.0022685265,0.0014865455,-0.0026275609,-0.0017482089,0.002072203,-0.0016918151,0.0014118489,0.0041868263,0.0013742408,0.0007077517,0.021748416,0.0007705429,0.0025708159,0.002783248,0.018528003,0.006379428,0.023412252,0.02195151,0.019618306,-0.00021977662,0.023478527,0.00069203164,0.0021008078,0.0054168985,0.0030674487,-0.001377826,0.019591834,0.005686428,0.03074437,0.018736556,-0.005001967,-0.0025997083,0.001397681,0.0031592906
TNFAIP2,-0.0108845895,-0.0024961568,-0.0060893777,9.804573e-05,0.0023154407,-0.0023495748,0.0068984935,-0.0021586402,-0.0040847347,-0.0032157658,0.018895736,-0.0011880177,0.0031081266,0.0014881283,0.06082054,0.0052871495,-0.14967252,-0.15622945,0.024744723,0.007738874,-0.16388182,-0.010657162,-0.00089121156,0.02143971,0.0020914131,0.00018064296,0.1519148,-0.0008171176,-0.101974,0.1029185,-0.025097732,-0.012682676,-0.0042266557,0.0066293483
HBEGF,-0.008134143,-0.00046901358,0.0053362413,0.000756263,-0.00033399073,0.00016509547,0.0026241401,0.00089166954,0.003410964,-0.00064792484,-0.022820717,-0.0001322792,-0.0001264107,0.0050974013,0.010698427,-0.0021270204,0.029298978,0.034752067,0.021118393,0.002159244,0.031691603,-0.0067430376,0.0023271707,0.009427203,0.0011001633,0.00910507,0.055386666,-0.0128996475,0.06752371,0.0066295224,-0.00020078465,-0.005119897,-0.00231709,-0.000810417
KLF6,-0.0075727263,-0.0061769737,-0.012940357,0.0036100303,0.008424858,0.0051098135,0.0029877264,-0.014359648,-0.0033573685,0.005037699,0.0042410353,0.005436902,0.0072326357,0.0066862474,0.027017316,0.010740398,-0.031675193,-0.033919856,-0.04721474,-0.006277034,-0.04130347,-0.003997407,0.0005442635,0.018226309,0.013378514,-0.008386862,-0.008331534,0.020941569,-0.09871347,-0.06706803,-0.02120185,-0.00747886,0.003333015,0.009994074
BIRC3,-0.0020533474,-0.0007268908,0.0007520624,-0.00165822,0.0020804591,-0.0004455823,0.0009910207,0.0005860037,0.0001212604,0.0017587962,0.013975384,-0.00090078445,0.0013989813,0.0011835604,0.02579593,0.0025808332,-0.00047778373,-0.0022430627,-0.0031814468,0.0004988906,-0.0018819211,-0.0033311797,-0.00046608623,0.006496716,0.0013855267,-0.001063001,0.045959756,0.010453657,-0.0046176277,0.016258908,-0.0028669026,0.0007842105,0.0010194054,0.0036403562
PLAUR,-0.010351913,0.0066986405,-0.019031232,-0.0050259735,-0.003935084,0.008752811,-0.009959943,0.012254248,-0.0026860742,-0.0010905496,-0.037720975,0.008657152,0.010272388,-0.030086106,0.06279636,0.01100153,-0.11603327,-0.08285509,-0.0733293,-0.0021887491,-0.117361225,-0.030588878,0.021313224,-0.027302615,0.0038640958,0.020761264,-0.37182292,-0.06413942,-0.036235217,-0.008354349,-0.03089887,-0.014191947,-0.006909738,0.0034426698
ZFP36,0.010649991,-0.006998824,-0.0181421,-0.015032963,0.017249938,0.006995997,-0.008569889,0.0025031443,-0.003805373,0.007991474,-0.007011633,0.006957607,0.0071316045,-0.015228977,0.018567871,0.008400711,-0.2200894,-0.22748142,-0.107014015,0.0046353037,-0.24065474,-0.006877429,-0.005661344,-0.011784611,0.01296173,-0.0020425804,-0.04313842,-0.03731634,-0.2243774,-0.015834581,-0.026167618,-0.0067102383,0.0024194915,0.005693906
ICAM1,-0.046315968,0.001274959,-0.018364085,0.007914591,-0.0055393004,0.0059025562,-0.0035869332,0.009128177,0.009260809,0.00494281,0.035869732,0.0009987938,0.0046414803,-0.008169225,0.14221667,0.016876204,-0.25107604,-0.25110793,0.25390553,-0.0013060422,-0.27260205,-0.021261612,0.04776716,0.014127916,0.0052504283,0.010252255,0.005944328,0.015091355,-0.19734345,0.054200847,-0.025278753,-0.02538808,-0.020777076,0.014292301
JUN,0.005375338,-0.008296817,-0.013887597,-0.0036992617,0.010689058,-0.00912745,0.00054813136,0.0023598245,0.0006208883,-0.0035063713,0.013049966,0.010860923,0.012078684,-0.008637294,0.022360228,0.0225476,-0.10336019,-0.11516047,-0.053640053,-0.00038044664,-0.116070636,-0.00878118,-0.0078050517,0.004963657,0.0038328406,-0.0024549707,-0.26351634,-0.008693442,-0.20824717,-0.055401973,-0.028355068,-0.010074198,0.014061791,0.016868323
EGR3,-0.0030743596,0.0018465149,-0.0002213729,-0.0007593947,0.00082105974,-0.00016674679,-8.160005e-05,-0.00023027403,0.0017151479,0.0029915264,-0.0026553008,-0.0006477756,0.0026609951,-0.00014564577,0.0053182323,0.00055261754,-0.003314236,-0.0028967198,-0.009417767,-0.0005156329,-0.00096120953,-0.0013494515,0.004958686,0.0038352828,0.0016035172,0.0010047503,0.013420884,-0.00096887985,0.0014316101,0.0162011,-0.00023458,0.00039781292,-0.0010149163,0.0014167001
IL1B,-0.012863996,0.012194959,0.015865069,-0.008861871,-0.004191431,-0.007127408,-0.0001803139,0.0127139995,0.009053642,-0.0015911818,-0.023666382,0.0024699555,0.00478078,-0.00081877917,0.12670705,0.0040995395,0.14001636,0.16437773,0.12678234,0.00022050952,0.15582557,-0.008430657,0.013839797,0.0044713593,0.0045711705,0.015967108,-0.00795127,-0.038000543,0.24740177,0.10768529,-0.008486128,-0.011050644,0.007269981,0.0073335115
BCL2A1,-0.016249595,-0.0061188084,0.0035883987,0.0067744586,-0.004618043,0.0010061474,-0.009426308,0.011026214,0.0051908614,0.008226029,-0.03137257,-0.00068416866,-0.0029666014,-0.0044218865,0.04245358,-0.009448303,-0.09096149,-0.087472394,-0.11215747,0.0054517826,-0.098113105,-0.014796711,0.044642467,-0.0024338185,-0.0015962396,0.011740167,-0.0035523342,-0.027872255,-0.07589722,0.0038917747,-0.0011483723,-0.007551982,-0.010899041,-0.0066501424
PPP1R15A,-0.021896144,-9.325584e-05,-0.00085709145,0.0021243407,-0.0075462367,-0.0073152785,-0.013564594,0.0030837234,0.008704543,-0.0011506535,-0.06320586,-0.005058015,-0.005315984,-0.014763046,0.11440172,0.005980914,-0.007532252,0.004380502,0.029692134,0.002076783,0.00013789468,-0.026135892,0.031280942,0.010657569,-0.0031199995,0.007674232,0.004894329,-0.03809802,0.03861558,0.050172083,-0.023463666,-0.01830824,-0.0027833863,-0.009968444
ZC3H12A,-0.009998711,-0.006141209,-0.0055753924,-0.0002395642,0.0009983886,0.0049666674,-0.0025270246,0.007838929,0.0045622694,0.0063720937,0.021186983,-0.0008877285,0.001691834,-0.00086958363,0.0065614567,0.008425694,-0.06959363,-0.07194804,-0.024496846,-0.0003178877,-0.07618078,-0.006228801,0.0037809496,0.0066761347,0.003842079,0.0024203004,-0.030513775,0.0052698706,-0.0835875,-0.020632965,-0.0030540407,-0.006073855,-0.0023914727,0.0078104786
SOD2,-0.050329737,0.0039040996,-0.03145533,-0.029311549,0.023590358,-0.0032944921,0.008787854,0.01748482,0.010945766,0.016123537,0.1712725,-0.0029829887,0.014049318,-0.013280596,0.23766719,0.036857896,-0.71555316,-0.72368705,0.103861764,-0.00025399617,-0.7824466,-0.033142965,-0.020150768,0.044302784,0.014012299,0.0010772804,0.015847815,0.06315757,-0.692452,0.12723324,-0.061653137,-0.041287974,-0.0056723915,0.044191323
NR4A2,0.002123876,0.0024614288,0.0004976746,0.00049206166,0.00013784226,-0.0009168768,0.00028600357,-0.0051100594,0.0015464125,-0.0010829351,0.018595668,0.0010902266,0.00045965757,0.002362588,0.0031704619,0.0012758457,0.015794002,0.015193972,-0.0017531472,0.0006137594,0.013618673,-0.0012178769,-0.005609834,0.0019650245,0.00023031535,-0.0031931547,-0.018113755,0.0029246903,0.0040115127,0.0060390704,-0.0023100046,-0.00030022973,0.0007850325,-0.002677653
IL1A,0.00015600536,-0.000105201914,1.4845062e-05,0.0017701781,-0.002048039,-0.0011902484,-0.000674515,-0.00031317273,0.0007454504,-0.0013194681,-0.0021728799,0.000998647,-0.0010235053,-0.00026437725,0.0017020288,0.00032361713,0.0031473197,0.0038308925,0.0069209263,0.00038470578,0.0036686144,0.00096082565,-0.0011234324,-0.0024325815,-0.00015482186,0.00049247,-0.00051708356,-0.003997676,0.005333498,0.0032777095,0.00019778842,-0.0024202103,0.00049963547,-0.0019544156
RELB,-0.015279636,0.0041960827,-0.008875293,-0.004021803,0.006306177,-0.0017079838,-0.0010136883,-0.0009942934,0.007691104,0.006115291,0.025924405,0.0018290643,0.008780233,0.000686095,0.0740867,0.016602572,0.0005574396,0.0042409203,0.09506281,0.0011199276,-0.004537332,-0.013767717,0.008871971,0.014843553,0.00878104,0.0018176294,0.017960653,0.016970353,0.046858378,0.0708028,-0.025669836,-0.015391319,0.0011023323,0.009671133
TRAF1,-0.0036363408,-0.0011169635,-0.00043502395,0.0013812088,0.0012877244,-0.0012471399,-0.0010871856,0.0016766632,0.00057303376,0.0022554146,0.0032013864,-0.00049050123,0.00080199685,-9.2152026e-05,0.03284769,0.0017256073,0.006674161,0.007318114,0.0016385483,0.00065733725,0.009555182,-0.0017427533,0.0066820313,-0.0006246102,0.00035121373,0.0010294957,0.017420875,0.0006410492,0.0071216915,0.011456474,-0.0030685868,-0.0017081166,-0.00089430483,4.752645e-05
BTG2,-0.010268417,-0.0038536426,0.004661618,-0.006904834,0.012104907,0.001137777,-0.0037168544,-0.0012145758,0.00858112,0.007734071,-0.044367976,0.0049303914,0.0038995536,-0.0025757023,0.06527111,0.0015479517,-0.011120819,-0.0068787886,0.09264476,0.0013908653,-0.0072246096,-0.010335104,0.032418385,0.015057258,0.0132602,0.0025001317,0.06140834,-0.028235018,0.029318133,0.09060898,-0.018326158,-0.002892575,0.003435653,0.004714979
DUSP1,0.013612802,-0.0061894828,-0.014215787,-0.009022989,0.0019272747,-7.294646e-05,-0.012464502,0.013178418,0.0072601223,-0.0031650162,-0.0005938412,0.006347634,0.014055008,-0.006897938,-0.0126118455,0.022952868,-0.04114633,-0.048709884,-0.101254046,-0.0046765045,-0.04645304,-0.0032898397,0.007379341,0.0015197982,0.0005477868,-0.009702973,-0.31546596,-0.024199694,-0.130805,-0.017511146,-0.016940583,-0.011050758,0.014551629,-0.0029825289
