,NTg1,NTg10,NTg2,NTg3,NTg4,NTg5,NTg7,NTg8,NTg9,tar-ATF2,tar-BRD4,tar-CAV1,tar-CD86,tar-CMTM6,tar-CUL3,tar-ETV7,tar-IFNGR1,tar-IFNGR2,tar-IRF1,tar-IRF7,tar-JAK2,tar-MARCH8,tar-MYC,tar-NFKBIA,tar-PDCD1LG2,tar-POU2F2,tar-SMAD4,tar-SPI1,tar-STAT1,tar-STAT2,tar-STAT3,tar-STAT5A,tar-TNFRSF14,tar-UBE2L6
JUNB,0.0047824145,0.015309456,-0.024620943,-0.0021877508,0.005788894,-0.005420214,-0.0056546293,-0.014805249,0.0018829122,0.0027551719,0.1389427,0.0058827093,-0.0055425884,-0.009036956,0.03500062,0.01548038,0.109132804,0.104267254,0.006055278,-0.0038153061,0.08606623,-0.005255001,0.011060468,-0.0213968,-0.010061888,-0.02091528,-0.041882034,0.08856553,0.16696256,0.06620322,-0.011268456,-0.005921659,0.0032861242,-0.007939062
CXCL2,-0.0055266405,0.0024697492,-0.0046427087,0.0042243768,-0.003951859,-0.0033745242,-0.0018012316,0.005194978,0.0006371497,-0.00031166544,-0.0222597,-0.0033721423,-0.0021473693,0.00026079785,0.054511774,0.0033222279,0.031087883,0.021607932,0.016012952,-0.0026107281,0.033227775,-0.0019510468,0.01564837,0.0023178367,0.0002623453,-0.006334189,-0.016768588,0.0011563647,0.024607338,0.00554042,-0.0050082714,-0.0011310239,-0.004096144,-0.004156146
ATF3,-0.013514197,-0.008036538,-0.007152755,0.0020738647,-0.00026911125,0.0014922097,-0.003674023,-0.012109182,0.010847682,0.00621077,-0.0069785505,0.0063022193,0.006722463,0.0041498435,0.025936317,0.009952739,-0.05842984,-0.065381065,-0.118150964,-0.0020047065,-0.056714766,-0.004561326,0.017435178,0.0149895605,0.0058260383,-0.0045993524,-0.059329316,-0.0011521428,-0.0718874,-0.002922153,-0.0061822715,0.010098669,-0.0039398856,-0.004078142
NFKBIA,0.004518351,0.035602376,-0.030009624,0.012560773,0.017104344,-0.015247025,-0.016029177,0.0022286118,-0.003555691,-0.0030944147,0.14012694,0.0042943177,0.014646765,-0.013633141,0.096517675,0.00042915833,0.26880977,0.2517215,-0.036186334,0.0037973789,0.24658847,-0.006074361,-0.012770254,-0.06269626,-0.011040399,-0.032891843,-0.04139099,0.09843025,0.34000936,0.14503117,-0.021189682,-0.012332234,0.00021949109,-0.025462018
TNFAIP3,-0.0016773676,0.0062241373,-0.012728624,0.00737429,0.009298418,-0.005837316,-0.0065230555,-0.009715193,0.00025609124,0.0037732532,0.030602433,0.0048945574,0.011624123,-0.000896508,0.042919107,-0.002617595,-0.009143321,-0.018399501,-0.071295284,0.0055436026,-0.016438933,0.0014063016,0.006230362,0.0010055244,-0.003446835,-0.010208138,0.009624966,0.04437348,0.04304181,0.041256737,-0.0063005276,-0.0039731744,-0.0007169246,-0.0086673675
PTGS2,-0.0014044672,-0.000501047,-0.00024010021,0.00024154769,0.00024546243,0.00012316868,0.000483576,-0.0020237248,0.00071805215,-0.00050174905,-0.012547911,-0.00046532464,-0.0002598852,0.0026587762,0.005778063,0.0018838468,-0.0029893252,-0.0068135564,-0.016050858,0.00074983056,-0.003881855,2.8111219e-05,0.0017698732,0.001699157,0.0012035365,0.001237917,0.00045000517,0.0013542924,-0.0021803535,0.009911823,-5.6425695e-05,-0.00017323495,-0.0029344223,-0.00023546774
CXCL1,0.0014754903,-0.0030168751,-0.004761041,-0.009960287,0.0048773433,-0.0015505861,0.0007059333,0.008692618,-0.0011048435,0.004877775,-0.076068394,0.002239815,0.009214674,0.007199209,0.052477214,0.013724769,0.041538063,0.023033762,-0.028240828,0.007334348,0.042919032,0.0020879975,0.031297892,0.014446605,-0.0010865693,0.013262827,-0.02667125,-0.0391898,0.08557561,0.044251565,-0.00872939,0.0008775347,0.008145795,0.0051127966
IER3,-0.0016403213,0.0044020093,-0.00018868448,0.0026099335,-0.00028472292,-0.0010304819,-0.00028169778,-0.0035927617,0.0026249655,0.001127022,5.5480257e-05,-0.00080787996,0.001567516,0.002262641,0.011043726,0.0015664317,0.034887157,0.044813953,-0.02540629,0.00072021765,0.034330193,-0.00036222042,0.0021130142,0.004990409,-0.0013727169,0.006078895,-0.021438573,0.0008461855,0.06720384,-0.0037340133,0.0008161567,0.0038619787,0.00360069,0.0049892333
CD83,-0.0075777937,0.003379659,-0.00023233755,-0.0017444718,0.0072819563,0.0033839457,-0.00557108,-0.0043381066,0.005856224,0.007194082,-0.021607088,0.0055482583,0.0005732855,0.00017994124,0.021532377,0.0083245905,2.2313136e-05,0.00073241524,0.046317905,0.0002554111,-0.0027204189,-0.005475385,-0.0010891219,0.009477024,0.004956527,-0.0012204038,0.044006377,0.00743714,0.02020506,0.037985425,-0.009244862,0.005212527,0.0022602517,0.0015867967
CCL20,0.0015125234,0.0075180004,0.0062267445,-0.00199243,0.0051575513,-0.0031902054,-0.004216293,-0.004237087,0.0046370225,0.0064096353,-0.044484854,-0.003568806,0.00020458412,-0.0024994994,0.029296411,0.00455369,0.0917638,0.096384674,0.026575375,-0.0029884598,0.09394569,0.00089132565,0.0070369756,-0.0013320678,-0.00080479373,0.0023662692,-0.03635465,-0.01107048,0.101240866,0.024991969,0.00503978,0.008261062,0.005196485,0.0044880453
