,NTg1,NTg10,NTg2,NTg3,NTg4,NTg5,NTg7,NTg8,NTg9,tar-ATF2,tar-BRD4,tar-CAV1,tar-CD86,tar-CMTM6,tar-CUL3,tar-ETV7,tar-IFNGR1,tar-IFNGR2,tar-IRF1,tar-IRF7,tar-JAK2,tar-MARCH8,tar-MYC,tar-NFKBIA,tar-PDCD1LG2,tar-POU2F2,tar-SMAD4,tar-SPI1,tar-STAT1,tar-STAT2,tar-STAT3,tar-STAT5A,tar-TNFRSF14,tar-UBE2L6
OSBP2,0.00021220758,-0.00029139777,-0.00010056629,-0.0011440079,3.1180844e-05,-4.78275e-05,0.0008625252,0.0025795437,-0.0015749304,-2.2203243e-05,-0.00082712964,-0.0004310356,0.0005248029,-0.00017205018,-0.00076854177,0.00035632696,-0.00079454,0.0014772175,0.002811382,0.00028122254,0.0012945652,-0.0019395644,0.0014957963,0.0003782977,-0.00048272603,-7.928788e-05,-0.0028214313,0.0012443081,0.0004021006,-0.001084646,-0.0004622891,0.0011750003,-0.00067636225,0.00025619383
ANK1,-2.630841e-05,-0.0002120512,0.0017243638,-0.0009253206,-0.00015323397,-0.0023618462,0.0007200068,0.0029506858,0.0009100919,0.00017226273,-0.0013393064,0.00071671215,0.001953926,0.000750274,0.0032220338,0.0014941153,-0.004120904,-0.0016177205,-0.00033672288,0.00037256928,-0.0060735354,-8.2275736e-05,-0.0019919926,0.002204875,-0.0001991001,0.0015559839,0.010281247,-0.002944831,0.007054378,0.0018658849,0.0009956973,0.0019766649,0.0010107473,0.0025857359
NFE2,0.001414407,-0.0007363349,0.0008691537,-0.0015285104,0.0031986767,0.0007317495,0.0012112269,-0.008170132,0.00029887824,-0.0016779653,-0.0014400855,0.0017324642,-1.87914e-05,0.00027915748,-0.010981963,-0.002227194,-0.031574193,-0.030064601,-0.001382829,-0.0001430338,-0.035656933,0.006299391,-0.014115365,-0.0023014236,-0.001057612,0.002399371,0.029513514,0.0039272625,-0.042236265,0.01607513,4.9697217e-05,0.0035051797,0.0016012441,-0.0029348498
SPTA1,-0.0011342806,-0.0019533273,0.0006359728,0.0025156655,-0.0013274758,0.0016831632,-0.0001503048,8.3590894e-05,-0.0012449092,6.898054e-05,0.0042883474,-2.9655872e-05,0.0014489002,0.00092274847,0.0021841303,1.2921626e-05,-0.00056731957,-0.0010518808,7.480062e-05,0.00086145516,-0.0014182111,6.953666e-05,-0.002672936,0.00084670854,0.000646733,-0.001680162,-0.0001368225,0.0005075235,0.0019177212,0.0012176839,0.001757486,0.00095216,0.00013795767,-0.000469713
SLC22A4,-0.0042555863,-0.0019602152,-0.0029282935,0.006297252,-0.0007402857,0.0028844017,-0.0007039365,0.0012559645,0.0007931524,0.00012095577,0.00013366032,0.00094261096,-0.00197407,0.00015432682,0.013192113,0.0040270737,-0.012413009,-0.014243613,0.013793764,-0.0017368019,-0.007541176,-0.00212494,0.0011565498,0.0021479086,-0.0012200868,0.0009321419,-0.022023022,0.00060543575,-0.020953882,-0.010067248,0.0007738371,0.001287425,-0.0014016106,0.0017157663
CLIC2,0.0016434852,0.0020882534,0.0006807799,-0.0020584485,0.0009442312,-0.0016161115,0.0015828713,0.0010757467,-0.0033768532,-0.0034464756,-0.0014996153,0.0018441923,2.443567e-05,0.0011188324,-0.0025792378,-0.00015076711,-0.016079431,-0.01824247,0.016790777,0.0020809614,-0.0183707,0.002958058,-0.0033228423,-0.00032311305,0.0028943957,-0.0025840236,-0.0008510354,0.0009918598,-0.021018261,-0.0072253398,-0.00032446158,-0.00033366244,0.0028518862,0.00069269375
TRAK2,-0.0020852233,-0.0006729599,0.00150885,0.0026826034,-0.0024667652,0.002139778,-0.00042293477,-0.0023262794,0.0026516,0.00018381978,0.0017732598,0.00048980745,-0.0007010261,0.0018853093,-0.0011184684,-0.00022085132,0.009362797,0.010990135,0.008656351,-0.0007794902,0.007873686,0.002415695,0.004202688,0.0014927177,-0.0013594616,0.0026126783,-0.0058468753,-0.00088536786,0.011719391,0.0070126113,-0.00038943358,-0.00021949824,-8.839005e-06,-0.0020477676
RANBP10,-0.002055714,-0.0012346866,-0.00015067412,0.001646008,-0.000119820375,0.0020706956,0.00035752705,-0.00031168116,-0.0008384445,-0.00041173425,0.003948214,0.0022180723,0.0003677575,-0.0002539431,-0.0036131516,0.00039690477,0.0009391655,0.0035230652,0.008976188,0.00049630785,0.0018890802,-0.0019821597,-0.0034427887,0.00069390197,0.0025748624,-0.0025275322,0.00456945,0.0027792507,-0.0021165768,0.00038226313,-0.0016187952,-0.00020207163,0.0002695335,-0.00048659908
UROS,-0.0006946933,-0.0041840496,-0.0040682247,0.004029444,-0.0037334273,0.016912488,-0.0013581814,0.0011226892,0.009250154,0.0032510823,0.032862883,0.00022375317,-0.0011167205,0.0038426425,-0.021185009,-0.008220156,0.028971951,0.02511777,-0.0141433785,-0.0055998135,0.025921872,0.006662057,0.008222157,0.0030299055,-0.008681767,0.0045453077,0.07907495,0.010932538,0.02733353,-0.012184608,0.012815888,0.0004945049,-0.0057396716,-0.0021852462
XK,0.0026415482,0.0011479375,0.0011406086,-0.001005173,-0.0016696323,-0.0018118082,0.0009847832,0.0022380708,0.0008671182,0.0006421905,-0.002520347,0.00043044297,0.002433499,0.00027755747,0.0016609499,0.0025081006,-0.0006532196,0.0040864376,0.0068152016,0.00056630466,0.00027010732,0.00045453897,-0.0060510477,7.3649935e-05,-0.00020761366,0.0053773806,-0.00035896432,-0.005874979,-0.0034137112,0.007300692,0.0020590432,0.0015409649,0.00075246533,-0.0004545482
