,spearman_rho,p_value,is_ntc,cvae_de_overlap
NTg1,0.44196160362732534,5.99922315183799e-178,True,3
NTg10,0.416977143405061,1.2062705883985675e-156,True,1
NTg2,0.5261427217004753,2.373302051681141e-264,True,3
NTg3,0.412747420949216,3.257888582854926e-153,True,3
NTg4,0.5312909814460185,1.8293724082363414e-270,True,1
NTg5,0.493217223844261,1.1991632037845575e-227,True,1
NTg7,0.5003579368798521,2.8662877983850972e-235,True,2
NTg8,0.45445679299343805,2.7137930269313973e-189,True,3
NTg9,0.44490402398559314,1.4099562263491077e-180,True,3
tar-ATF2,0.48954455211984504,8.49011743611848e-224,False,4
tar-BRD4,0.5425447438780054,3.352115032977901e-284,False,3
tar-CAV1,0.4852654223076533,2.2687063000192148e-219,False,2
tar-CD86,0.4648017423439349,4.744571951823483e-199,False,2
tar-CMTM6,0.4234065142195178,5.888688644335755e-162,False,1
tar-CUL3,0.5911422579345026,0.0,False,5
tar-ETV7,0.48358536741849895,1.1931275007989893e-217,False,4
tar-IFNGR1,0.5502808413937949,5.9556722520435016e-294,False,1
tar-IFNGR2,0.5970108119806862,0.0,False,1
tar-IRF1,0.5535173151037728,4.161870351730684e-298,False,4
tar-IRF7,0.4659386683615363,3.829797515226972e-200,False,6
tar-JAK2,0.5628376729222418,2.4713955231662e-310,False,1
tar-MARCH8,0.5077051999578879,2.6537327056202725e-243,False,4
tar-MYC,0.5556879979591157,6.403304725195781e-301,False,3
tar-NFKBIA,0.532761599824876,3.1375990514110045e-272,False,1
tar-PDCD1LG2,0.4833872414353108,1.901067710328073e-217,False,3
tar-POU2F2,0.47306040233816593,4.3802945725263046e-207,False,3
tar-SMAD4,0.6526990547583609,0.0,False,9
tar-SPI1,0.5207494639001176,4.647002077231212e-258,False,2
tar-STAT1,0.5711994196651998,1.225e-321,False,0
tar-STAT2,0.546808419573907,1.5243463242251385e-289,False,2
tar-STAT3,0.49165350340250424,5.295004892859801e-226,False,2
tar-STAT5A,0.5085506206589115,3.067589098953478e-244,False,2
tar-TNFRSF14,0.48443419192012965,1.6159329040651726e-218,False,3
tar-UBE2L6,0.47446356629187225,1.795992370483709e-208,False,4
